# Temperature	 Resistance
3.099983978271479828e+02	3.640904159545900143e+01
3.027631988525390057e+02	3.696217193603519746e+01
2.955212860107420170e+02	3.754266052246089913e+01
2.882763061523439774e+02	3.815412521362299714e+01
2.810381469726560226e+02	3.879698699951170227e+01
2.737951049804689774e+02	3.947773361206049714e+01
2.665541381835939774e+02	4.019411422729489658e+01
2.593180999755859943e+02	4.095092773437500000e+01
2.520733489990230112e+02	4.174797439575200286e+01
2.448339462280270027e+02	4.258486663818359830e+01
2.375907516479489914e+02	4.347559356689450283e+01
2.303486480712890057e+02	4.441847198486330228e+01
2.231069488525390057e+02	4.540306045532229717e+01
2.158669509887699860e+02	4.643876647949220171e+01
2.086248474121090055e+02	4.752941421508789688e+01
2.013811492919919885e+02	4.868052291870120030e+01
1.941415481567379970e+02	4.990803253173830001e+01
1.868992004394530113e+02	5.121845687866210284e+01
1.796562957763669885e+02	5.261385604858399745e+01
1.724180526733399859e+02	5.410529327392580257e+01
1.651740036010739914e+02	5.569376785278320341e+01
1.579343948364260086e+02	5.740565093994140256e+01
1.506922988891600141e+02	5.924430450439449913e+01
1.434478073120120030e+02	6.123667144775389914e+01
1.362080535888669885e+02	6.337668991088870030e+01
1.289668045043949860e+02	6.569379241943360626e+01
1.217257995605470029e+02	6.820711700439450453e+01
1.144846992492680045e+02	7.095270690917969603e+01
1.072429504394529971e+02	7.395566528320310340e+01
1.000034484863279971e+02	7.725880218505859887e+01
1.000000534057620030e+02	7.724151794433589657e+01
9.897764968872070312e+01	7.775753204345700453e+01
9.795154953002929688e+01	7.826237701416019377e+01
9.692475128173829546e+01	7.877822845458989320e+01
9.590080261230470171e+01	7.929771636962890113e+01
9.487525177001950283e+01	7.982717376708980339e+01
9.384760284423829546e+01	8.036207946777339828e+01
9.282204818725590201e+01	8.090608764648439433e+01
9.179574966430659799e+01	8.145890930175779943e+01
9.076745223999020595e+01	8.202014038085940228e+01
8.974390029907229405e+01	8.258958068847660172e+01
8.872049713134769888e+01	8.316985809326169488e+01
8.769219970703130684e+01	8.375803253173829432e+01
8.666464996337890625e+01	8.436462219238279658e+01
8.564455032348629970e+01	8.496831207275390341e+01
8.461725234985350141e+01	8.559158142089839316e+01
8.359074783325199576e+01	8.622616363525389716e+01
8.256320190429690342e+01	8.686543395996089600e+01
8.154154968261720171e+01	8.752414886474609546e+01
8.051610183715820312e+01	8.819169067382810567e+01
7.948794937133790484e+01	8.887529968261719659e+01
7.846435165405270595e+01	8.957110809326169942e+01
7.743814849853519888e+01	9.028243194580079489e+01
7.641230010986329546e+01	9.099978912353519434e+01
7.538550186157229405e+01	9.174443389892580569e+01
7.435949707031250000e+01	9.248805419921879434e+01
7.333810043334959516e+01	9.326209075927729941e+01
