# Temperature (K)	 Resistance (Ohm)
3.000004119873049717e+02	3.681438415527340169e+01
2.928636627197270172e+02	3.740104705810549746e+01
2.857194976806640057e+02	3.801369094848629970e+01
2.785765533447270172e+02	3.865696350097660172e+01
2.714309997558589771e+02	3.933284744262699917e+01
2.642835388183589771e+02	4.004553909301760228e+01
2.571404571533200283e+02	4.079506744384769945e+01
2.499947509765630116e+02	4.157962051391599800e+01
2.428543014526370030e+02	4.240847045898439660e+01
2.357130508422850141e+02	4.328225326538090201e+01
2.285689010620120030e+02	4.420265975952150228e+01
2.214262008666989914e+02	4.517610977172849829e+01
2.142839508056640057e+02	4.620501327514649859e+01
2.071436004638669885e+02	4.729413986206049714e+01
2.000008010864260086e+02	4.844527374267580200e+01
1.928587493896480112e+02	4.967258453369139914e+01
1.857171020507809942e+02	5.097754043579099914e+01
1.785734939575199860e+02	5.236587341308590027e+01
1.714324493408199999e+02	5.384682434082029800e+01
1.642874984741210085e+02	5.542843673706050112e+01
1.571442489624020027e+02	5.712819976806640199e+01
1.500023498535159945e+02	5.894774490356449803e+01
1.428598556518550140e+02	6.090616226196289773e+01
1.357163543701169885e+02	6.302169830322269917e+01
1.285727996826169885e+02	6.530665008544920624e+01
1.214294013977050071e+02	6.779180358886719659e+01
1.142873001098629970e+02	7.050224151611330115e+01
1.071443023681640057e+02	7.346425781249999432e+01
1.000022506713870030e+02	7.672042114257810397e+01
1.000002975463870030e+02	7.670288238525390057e+01
9.897654724121089487e+01	7.721880249023439546e+01
9.795075225830079546e+01	7.771804565429690115e+01
9.692630004882809658e+01	7.822978729248049490e+01
9.590005111694340201e+01	7.875033813476559885e+01
9.487395095825199576e+01	7.928119110107419942e+01
9.384980010986329546e+01	7.981207031249999773e+01
9.282174682617190342e+01	8.036005981445309487e+01
9.179750061035160513e+01	8.090868988037109943e+01
9.077000045776370030e+01	8.146720367431639431e+01
8.974625015258790484e+01	8.204034576416019320e+01
8.871990203857420454e+01	8.261933319091799888e+01
8.769390106201170454e+01	8.320709838867189490e+01
8.666989898681640625e+01	8.380832000732419829e+01
8.564429855346679688e+01	8.441628143310549603e+01
8.461614990234380684e+01	8.503370971679690626e+01
8.358790206909179688e+01	8.566585327148439433e+01
8.256355285644529829e+01	8.631329010009770286e+01
8.153865051269529829e+01	8.696925720214839828e+01
8.051519775390630684e+01	8.763744567871090396e+01
7.948619842529299717e+01	8.831998443603519888e+01
7.846120071411129970e+01	8.901235260009769945e+01
7.743450164794920454e+01	8.972003753662110626e+01
7.641270065307620030e+01	9.044309814453120566e+01
7.538709640502929688e+01	9.118050567626950453e+01
7.436119842529299717e+01	9.192871582031250455e+01
7.333275222778320312e+01	9.269640106201170227e+01
7.231055068969729405e+01	9.347132293701170624e+01
7.128085327148440342e+01	9.426903717041020059e+01
7.025654983520510655e+01	9.510213806152340510e+01
6.923564910888670454e+01	9.593282165527340055e+01
6.820360183715820312e+01	9.678176696777339316e+01
6.718020248413090201e+01	9.764856506347659604e+01
6.615665054321290484e+01	9.853207489013669829e+01
6.512860107421880684e+01	9.943632507324220171e+01
6.410305023193359375e+01	1.003611856079100022e+02
6.307929992675779829e+01	1.013097293090820017e+02
6.205160140991210227e+01	1.022805920410160070e+02
6.102919960021969814e+01	1.032705697631839996e+02
6.000029945373540130e+01	1.042848907470699942e+02
6.000295066833499646e+01	1.042908834838870007e+02
5.949920082092290130e+01	1.048012841796879968e+02
5.898679924011229758e+01	1.053213363647460028e+02
5.848049926757809658e+01	1.058409899902339930e+02
5.797679901123049717e+01	1.063709381103520002e+02
5.747024917602539773e+01	1.069093545532229967e+02
5.695915031433109732e+01	1.074494958496089936e+02
5.645720100402829900e+01	1.080013574218749994e+02
5.595204925537110086e+01	1.085577490234369975e+02
5.544605064392089844e+01	1.091231167602540069e+02
5.493939971923830257e+01	1.096982852172850045e+02
5.443050003051759944e+01	1.102752395629880056e+02
5.392449951171879974e+01	1.108582839965820028e+02
5.341849899291990056e+01	1.114536767578129997e+02
5.291130065917970171e+01	1.120559017944340070e+02
5.240970039367680045e+01	1.126685913085940030e+02
5.190175056457520242e+01	1.132866418457030022e+02
5.139050102233890271e+01	1.139090371704100022e+02
5.088579940795899859e+01	1.145506863403320068e+02
5.038210105895999646e+01	1.151924362182620030e+02
4.987399864196780186e+01	1.158443478393549952e+02
4.936765098571780186e+01	1.165016726684570045e+02
4.886314964294430041e+01	1.171859136962890062e+02
4.835614967346189985e+01	1.178648760986330046e+02
4.784885025024409799e+01	1.185549682617189973e+02
4.734379959106450286e+01	1.192538058471679960e+02
4.683559989929199929e+01	1.199683447265630036e+02
4.633449935913090201e+01	1.206949295043950059e+02
4.582504844665530186e+01	1.214306866455080041e+02
4.531775093078609729e+01	1.221692507934569960e+02
4.480885124206540127e+01	1.229277194213869961e+02
4.430500030517580257e+01	1.237003439331050032e+02
4.379890060424799714e+01	1.244840762329099988e+02
4.329309844970700283e+01	1.252789791870119984e+02
4.278584861755369673e+01	1.260733810424799941e+02
4.227799987792970171e+01	1.268994934082029999e+02
4.177154922485350141e+01	1.277320657348629993e+02
4.126799964904790130e+01	1.285805950927729953e+02
4.076130104064939985e+01	1.294340771484380070e+02
4.025709915161129970e+01	1.303118139648439922e+02
3.974729919433590197e+01	1.312032531738279886e+02
3.924094963073729758e+01	1.321096490478520025e+02
3.873495101928710227e+01	1.330304296875000034e+02
3.822909927368159799e+01	1.339742590332029977e+02
3.772429847717290130e+01	1.349302093505860114e+02
3.721875000000000000e+01	1.359016638183589976e+02
3.671455001831049714e+01	1.368967596435549865e+02
3.620340156555180045e+01	1.379140301513670011e+02
3.569499969482419743e+01	1.389422717285160047e+02
3.519140052795410156e+01	1.399903228759770002e+02
3.468219947814939985e+01	1.410468103027340021e+02
3.417589950561519885e+01	1.421347235107419920e+02
3.367354965209960227e+01	1.432404241943359864e+02
3.316710090637209873e+01	1.443718029785160013e+02
3.266995048522949929e+01	1.454978753662109909e+02
3.217005157470700283e+01	1.466804553222659990e+02
3.165829944610599966e+01	1.479134368896480112e+02
3.115859985351560013e+01	1.491111914062499864e+02
3.063164997100830078e+01	1.504163897705080046e+02
3.013159942626949928e+01	1.516496130371089919e+02
2.961994934082029829e+01	1.530108020019530102e+02
2.911470031738279829e+01	1.543281164550780034e+02
2.860774993896480112e+01	1.557247369384770082e+02
2.810204982757570136e+01	1.571084606933590067e+02
2.759600067138670099e+01	1.585575390625000125e+02
2.708815002441410158e+01	1.600180944824219864e+02
2.658604907989500177e+01	1.615276409912110012e+02
2.608895015716549892e+01	1.630356835937500080e+02
2.557434940338130147e+01	1.646927258300779897e+02
2.505660057067870028e+01	1.663320880126950101e+02
2.455605030059809835e+01	1.679692218017580103e+02
2.404955005645750177e+01	1.696752117919920124e+02
2.354174995422360084e+01	1.714351245117190103e+02
2.303784942626949928e+01	1.732342761230470103e+02
2.253245067596440165e+01	1.750894598388669863e+02
2.202579975128169920e+01	1.770274102783199908e+02
2.151990032196039948e+01	1.789944116210940024e+02
2.101264953613279829e+01	1.810559979248050126e+02
2.050564956665040128e+01	1.831767376708980066e+02
1.999880027771000002e+01	1.853620251464840010e+02
1.999820041656489877e+01	1.853681536865229873e+02
1.974365043640139916e+01	1.864874969482420113e+02
1.949125003814700108e+01	1.876086730957030113e+02
1.923265075683589842e+01	1.888361077880859966e+02
1.897485065460210052e+01	1.900171514892579978e+02
1.871850013732910156e+01	1.912249230957029908e+02
1.846144962310789950e+01	1.924620831298830126e+02
1.820444965362549894e+01	1.937323834228519956e+02
1.794805049896239879e+01	1.950329217529300081e+02
1.769089984893799894e+01	1.963523321533199919e+02
1.743430042266849966e+01	1.977215405273439899e+02
1.717850017547609909e+01	1.991143713378909865e+02
1.692290019989010119e+01	2.005262030029300035e+02
1.666730022430419922e+01	2.019727917480470012e+02
1.641040039062500000e+01	2.034602203369140057e+02
1.615489959716800072e+01	2.049726745605470057e+02
1.589750003814699930e+01	2.065204687499999920e+02
1.564109992980960051e+01	2.081001013183590089e+02
1.538390016555790041e+01	2.097180621337890045e+02
1.512890005111690073e+01	2.113818688964840078e+02
1.487139987945560016e+01	2.130740240478519922e+02
1.461570024490359998e+01	2.148156274414060078e+02
1.435939979553219992e+01	2.165937707519530022e+02
1.410159969329830076e+01	2.184240789794920090e+02
1.384704971313479938e+01	2.203022216796879889e+02
1.359030008316040039e+01	2.222300579833980123e+02
1.333290004730219991e+01	2.242271051025390136e+02
1.307669973373410066e+01	2.262710058593750091e+02
1.281959962844850054e+01	2.283652215576169908e+02
1.256484985351560013e+01	2.305301208496090055e+02
1.230745029449460048e+01	2.327897155761720001e+02
1.205109977722169923e+01	2.350911621093750057e+02
1.179540014266970083e+01	2.374803491210940081e+02
1.153865003585820048e+01	2.399387499999999989e+02
1.128079986572270066e+01	2.425049853515629934e+02
1.102554988861080076e+01	2.451432739257809885e+02
1.076940011978149947e+01	2.478744470214840021e+02
1.051259994506840023e+01	2.507243481445310067e+02
1.025615024566650035e+01	2.536941241455079989e+02
1.000000000000000000e+01	2.567611535644530250e+02
9.999949932098390448e+00	2.567671472167970137e+02
9.683450222015380859e+00	2.607526806640630070e+02
9.368150234222410333e+00	2.649606103515620248e+02
9.052149772644039416e+00	2.694067175292969978e+02
8.736800193786619317e+00	2.741235913085939728e+02
8.420650005340579725e+00	2.791759167480469728e+02
8.105599880218509412e+00	2.845150903320309794e+02
7.789249897003170275e+00	2.902568334960939751e+02
7.473999977111819959e+00	2.963616857910159865e+02
7.158299922943119675e+00	3.030240051269529999e+02
