# Temperature (K) 	 Resistance (Ohm)
3.799987487792969887e+02	3.749981834411619985e+01
3.750088958740229828e+02	3.786289184570310340e+01
3.700015411376950283e+02	3.823083114624019885e+01
3.650017395019530113e+02	3.861224365234379974e+01
3.600020904541020172e+02	3.899600601196289773e+01
3.550012512207030113e+02	3.939743041992190342e+01
3.499975128173829830e+02	3.980562973022460227e+01
3.449969482421880116e+02	4.022748565673830257e+01
3.400045623779299717e+02	4.066614151000980115e+01
3.350036010742189774e+02	4.111938476562500000e+01
3.299970550537109943e+02	4.157841491699220171e+01
3.250083923339839771e+02	4.204591751098629970e+01
3.200130004882810226e+02	4.252521896362299714e+01
3.150073547363280113e+02	4.302153770446779646e+01
3.100018005371089771e+02	4.353115081787110086e+01
3.050025024414060226e+02	4.405688095092769885e+01
3.000049438476560226e+02	4.459789657592769885e+01
2.933342895507810226e+02	4.535399246215820312e+01
2.866713562011719887e+02	4.614664077758789773e+01
2.800045471191410229e+02	4.696728897094730115e+01
2.733375549316410229e+02	4.783643554687500199e+01
2.666712951660160229e+02	4.874595642089840197e+01
2.600048522949219887e+02	4.970142745971679688e+01
2.533368453979489914e+02	5.070203781127929688e+01
2.466701507568359943e+02	5.174710464477539773e+01
2.400054016113280113e+02	5.284967803955080257e+01
2.333366012573239914e+02	5.401092033386230185e+01
2.266693496704100141e+02	5.523468872070309743e+01
2.200040512084960085e+02	5.651753234863279829e+01
2.133353500366210085e+02	5.788004302978519888e+01
2.066681442260739914e+02	5.932087326049799714e+01
2.000029983520510086e+02	6.083636474609379974e+01
1.933368988037109943e+02	6.244589233398440342e+01
1.866684494018550140e+02	6.416120147705079546e+01
1.800022506713870030e+02	6.597832107543949576e+01
1.733353042602539915e+02	6.791100692749020595e+01
1.666676483154300001e+02	6.997142791748049717e+01
1.600005493164059942e+02	7.217634582519529829e+01
1.533358535766600141e+02	7.453862380981449576e+01
1.466694488525390057e+02	7.707474517822269888e+01
1.400013504028320028e+02	7.979831695556640625e+01
1.333332519531250000e+02	8.273619842529299717e+01
1.266674499511720029e+02	8.592401123046880684e+01
1.200007514953610013e+02	8.937340164184570312e+01
1.133343009948730042e+02	9.313587570190429688e+01
1.066680488586430045e+02	9.724061965942379970e+01
9.999964904785160513e+01	1.017609939575200002e+02
9.900019836425779829e+01	1.024808540344239987e+02
9.800195312500000000e+01	1.032171630859379974e+02
9.700080108642579546e+01	1.039612846374510013e+02
9.600104904174800424e+01	1.047196235656739987e+02
9.500004959106449576e+01	1.054924011230470029e+02
9.400125122070309658e+01	1.062681274414059942e+02
9.300169754028320312e+01	1.070590858459469956e+02
9.200110244750979405e+01	1.078646697998050001e+02
9.100310134887699576e+01	1.086805038452150001e+02
9.000124740600590201e+01	1.095091781616209943e+02
8.899945068359380684e+01	1.103585014343260013e+02
8.799939727783200283e+01	1.112103195190429972e+02
8.699804687500000000e+01	1.120873069763180041e+02
8.600094985961909799e+01	1.129701881408689985e+02
8.500439834594729405e+01	1.138809051513670028e+02
8.400104904174800424e+01	1.148134762573239982e+02
8.299985122680659799e+01	1.157594909667970029e+02
8.200505065917970171e+01	1.167138862609860013e+02
8.099890136718750000e+01	1.176986007690429972e+02
8.000460052490230112e+01	1.187033042907710012e+02
7.899755096435549717e+01	1.197134361267089986e+02
7.800025177001950283e+01	1.207523655700679939e+02
7.700149917602540484e+01	1.218140144348139984e+02
7.599974822998049717e+01	1.229000053405760013e+02
7.499839782714839487e+01	1.240042121887209987e+02
7.400015258789059658e+01	1.251353111267089986e+02
7.299320220947269888e+01	1.262837409973139984e+02
7.199870300292970171e+01	1.274554100036619957e+02
7.100284957885739345e+01	1.286524349975589985e+02
6.999845123291019888e+01	1.298707443237300083e+02
6.899889755249020595e+01	1.311179354858400075e+02
6.800114822387699576e+01	1.324054702758789972e+02
6.700284957885739345e+01	1.337173663330079876e+02
6.599654769897459516e+01	1.350470690917969989e+02
6.500035095214839487e+01	1.364311950683589885e+02
6.399814987182620030e+01	1.378277465820310113e+02
6.300389862060549717e+01	1.392700460815430006e+02
6.200349998474119673e+01	1.407384674072270059e+02
6.100045013427730112e+01	1.422460205078120055e+02
6.000054931640629974e+01	1.437979013061519993e+02
5.950275039672850141e+01	1.445780102539060010e+02
5.899609947204589844e+01	1.453874700927729862e+02
5.850205039978030186e+01	1.461931765747069960e+02
5.799964904785159803e+01	1.470262100219729859e+02
5.750285148620609732e+01	1.478464508056640057e+02
5.700110054016109729e+01	1.486955868530270095e+02
5.649740028381349788e+01	1.495394680786129982e+02
5.600040054321289773e+01	1.504058087158200010e+02
5.550115013122560015e+01	1.512808309936519890e+02
5.499769973754879970e+01	1.521833078002929938e+02
5.450245094299319959e+01	1.530732882690429904e+02
5.399740028381349788e+01	1.539869534301759870e+02
5.350049972534179688e+01	1.549124182128909979e+02
5.300110054016109729e+01	1.558551397705080035e+02
5.249790000915530186e+01	1.568104013061519879e+02
5.199930000305180045e+01	1.577674591064449885e+02
5.150279998779299717e+01	1.587535284423829864e+02
5.100014877319340201e+01	1.597582672119139886e+02
5.049980163574220171e+01	1.607611318969730121e+02
5.000300025939939985e+01	1.617978475952149893e+02
4.949704933166500354e+01	1.628308908081050106e+02
4.899839973449709873e+01	1.638788186645510052e+02
4.849810028076169743e+01	1.649473147583009904e+02
4.799914932250980115e+01	1.660364758300779897e+02
4.749959945678710227e+01	1.671471667480469989e+02
4.699674987792970171e+01	1.682741198730469989e+02
4.649995040893549714e+01	1.694038192749019913e+02
4.600365066528320312e+01	1.705756838989260018e+02
4.550000000000000000e+01	1.717565386962889988e+02
4.500085067749019885e+01	1.729549874877930051e+02
4.450115013122560015e+01	1.741778683471679869e+02
4.399654960632319955e+01	1.754177130126950033e+02
4.350049972534179688e+01	1.766709179687499898e+02
4.300139999389649859e+01	1.779538537597659911e+02
4.250099945068360086e+01	1.792511065673830046e+02
4.199904823303219814e+01	1.805853308105469921e+02
4.149739837646480112e+01	1.819189303588869961e+02
4.099995040893549714e+01	1.833110690307620132e+02
4.050049972534179688e+01	1.847124246215819880e+02
3.999899864196780186e+01	1.861435739135739880e+02
