[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3726065299.88445,01/25/2018,6:08 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,GE,SAMPLE_MATERIAL
INFO,drop,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3726065992.04683,299.833526611328,9999.6572265625,-4.48433784269798E-6,1.77314508617304E-7,1,2,13.2042255401611,7.99548557227747,33.6299985647202,-0.00909668685160884,-0.00115274256231861,1000,9.34754878252852E-8,299.833526611328,299.833526611328,9999.6572265625,9999.6572265625,50.4588106874669,5.51136712978055,6.21169328689575,26,1,0,0,1,0.458984375,30.3030319213867,1,1,1,299.833526611328,0,299.833526611328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726065995.16332,299.841644287109,9999.6572265625,-4.49247022117273E-6,1.8385041383085E-7,1,2,13.2042255401611,7.99570105993018,33.6299985647202,-0.00910461575571514,-0.00121367608607046,1000,6.4556997538957E-8,299.841644287109,299.841644287109,9999.6572265625,9999.6572265625,50.4279363609573,5.51068476528886,6.21765327453613,26,1,0,0,1,0.458602905273438,30.7917900085449,6,1,1,299.841644287109,0,299.841644287109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066040.98277,298.989990234375,9999.6572265625,-4.57748669246182E-6,1.72568289601478E-7,1,2,13.2042255401611,7.99531884876449,33.6299985647202,-0.00923405761835586,-0.00152460640143048,1000,-7.66319908769295E-8,298.989990234375,298.989990234375,9999.6572265625,9999.6572265625,50.4443505598611,5.51175747849896,6.29766607284546,26,1,0,0,1,0.458755493164063,30.7917900085449,2,1,1,298.989990234375,0,298.989990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066062.06847,297.991729736328,9999.6572265625,-4.52653494002868E-6,1.72665181971374E-7,1,2,13.2042255401611,7.995141239752,33.6299985647202,-0.00915982265284632,-0.00131390636079731,1000,2.00104207426762E-8,297.991729736328,297.991729736328,9999.6572265625,9999.6572265625,50.3849467923996,5.51294025227745,6.31924819946289,26,1,0,0,1,0.460662841796875,31.7693061828613,2,1,1,297.991729736328,0,297.991729736328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066081.2313,296.993682861328,9999.6572265625,-4.59040220163272E-6,1.68081586259431E-7,1,2,13.2042255401611,7.99517777073066,33.6299985647202,-0.00928638733650505,-0.00135069366288638,1000,1.12705324003151E-8,296.993682861328,296.993682861328,9999.6572265625,9999.6572265625,50.4486495167169,5.51234467249406,6.34875726699829,26,1,0,0,1,0.461349487304687,31.7693061828613,2,1,1,296.993682861328,0,296.993682861328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066100.91063,295.998901367188,9999.6572265625,-4.45847863219672E-6,1.89375004837509E-7,1,2,13.2042255401611,7.99506503780988,33.6299985647202,-0.00899666805338488,-0.00146574531828074,1000,-6.51465500284905E-8,295.998901367188,295.998901367188,9999.6572265625,9999.6572265625,50.4318445035534,5.51279555733335,6.35626029968262,26,1,0,0,1,0.460357666015625,31.7693061828613,2,1,1,295.998901367188,0,295.998901367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066120.00409,294.997467041016,9999.6572265625,-4.53064684213864E-6,1.76558308452162E-7,1,2,13.2042255401611,7.99499928542298,33.6299985647202,-0.00917922515309026,-0.00123958070382994,1000,5.73665303437991E-8,294.997467041016,294.997467041016,9999.6572265625,9999.6572265625,50.361107122563,5.51275091691013,6.37595176696777,26,1,0,0,1,0.461959838867188,31.7693061828613,2,1,1,294.997467041016,0,294.997467041016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066139.6523,293.988830566406,9999.6572265625,-4.49593414765483E-6,1.76322105866984E-7,1,2,13.2042255401611,7.99490876596847,33.6299985647202,-0.0090988024194067,-0.00129791156333455,1000,2.33818740698892E-8,293.988830566406,293.988830566406,9999.6572265625,9999.6572265625,50.4998461847265,5.51332163256087,6.39250659942627,26,1,0,0,1,0.456390380859375,31.7693061828613,2,1,1,293.988830566406,0,293.988830566406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066159.54832,292.982238769531,9999.6572265625,-4.50349973349276E-6,1.82727935458893E-7,1,2,13.2042255401611,7.99479780882031,33.6299985647202,-0.0091057198689804,-0.00135634368363012,1000,-4.39880408051333E-9,292.982238769531,292.982238769531,9999.6572265625,9999.6572265625,50.3970620344476,5.51358420913182,6.40108680725098,26,1,0,0,1,0.457229614257812,31.7693061828613,2,1,1,292.96826171875,0,292.982238769531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066178.28398,291.996704101562,9999.6572265625,-4.53498860539547E-6,1.80497899471023E-7,1,2,13.2042255401611,7.9947553554674,33.6299985647202,-0.00914801775281512,-0.00151007629044368,1000,-7.57639644490167E-8,291.996704101562,291.996704101562,9999.6572265625,9999.6572265625,50.381429464063,5.51363331881335,6.40785789489746,26,1,0,0,1,0.4595947265625,32.2580642700195,2,1,1,291.996704101562,0,291.996704101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
