# Temperature (K) 	 M/H in emu (multiply by field in Oe)
2.102141976356509900e+00	3.520618066223435438e-11
2.239138007164000133e+00	3.413676606256192374e-11
2.365905523300170010e+00	3.402514450173283628e-11
2.495326280593869850e+00	3.375629021995663606e-11
2.626192927360529783e+00	3.317684205387010000e-11
2.758578181266779783e+00	3.387216796337157602e-11
2.894150495529180134e+00	3.268127217642548321e-11
3.032682418823240411e+00	3.234313774288978665e-11
3.161095976829530141e+00	3.139393621001509416e-11
3.304251909255980113e+00	3.150555368646564345e-11
3.444864034652709961e+00	3.106193372195782805e-11
3.579429984092710182e+00	3.046322904233914945e-11
3.724716663360599700e+00	3.010162855236394932e-11
3.862789511680599919e+00	2.973761513267050184e-11
4.008242011070250577e+00	2.878211767718635631e-11
4.155685663223270154e+00	2.778787757420463550e-11
4.303164005279540127e+00	2.888098680699456401e-11
4.450587034225459426e+00	2.813611007971493292e-11
4.591137170791630417e+00	2.741298191816475183e-11
4.739059686660769266e+00	2.757696787685404957e-11
4.876696825027470261e+00	2.681820170489731306e-11
5.025490045547489792e+00	2.674168517368250542e-11
5.174950361251830167e+00	2.597918479665972990e-11
5.318374633789059835e+00	2.535662715069002043e-11
5.470092535018920010e+00	2.561724374593362025e-11
5.618971824645999646e+00	2.517859375836233534e-11
5.772671699523929334e+00	2.426082163993711173e-11
5.930675029754639560e+00	2.418259348088684029e-11
6.080309391021731180e+00	2.442934840023379988e-11
6.235920906066890090e+00	2.372324082612281596e-11
6.382116556167599875e+00	2.353688301946684015e-11
6.531850337982180399e+00	2.249107134612363877e-11
6.689004898071289951e+00	2.291345866665197252e-11
6.842577457427981180e+00	2.178095757569670815e-11
7.001615762710570401e+00	2.146111562107829758e-11
7.159805536270138937e+00	2.073220138534650519e-11
7.317537546157839579e+00	2.112943513570539905e-11
7.477454662323000711e+00	2.076936027006602883e-11
7.626140594482419210e+00	2.064176516606563638e-11
7.780281782150269443e+00	2.008183255559358566e-11
7.924892663955691141e+00	1.982811858460978179e-11
8.082310676574708808e+00	2.001592833457943666e-11
8.242413520812990058e+00	1.975656237791122192e-11
8.397293090820310724e+00	1.875757926622923364e-11
8.550814628601070666e+00	1.880840178442786527e-11
8.708356380462650037e+00	1.827790093026289750e-11
8.866039276123050428e+00	1.805876501235389857e-11
9.017279148101810193e+00	1.794764359659612604e-11
9.177762508392330432e+00	1.814516003317064151e-11
9.332293987274169922e+00	1.728816928988248477e-11
9.484387397766109729e+00	1.718487112409116025e-11
9.654362678527830255e+00	1.686170426006803889e-11
9.818357944488520062e+00	1.712310519070776701e-11
9.979343414306640625e+00	1.698776962366099352e-11
1.013830232620240146e+01	1.636727127342768790e-11
1.029971265792850055e+01	1.655363677676256062e-11
1.045193433761600055e+01	1.581249723589979239e-11
1.061379146575930044e+01	1.618723481914694455e-11
1.076245212554930042e+01	1.501313094468779240e-11
1.092130756378170098e+01	1.541438655423958715e-11
1.107920360565190165e+01	1.534081361149836627e-11
1.123471879959109998e+01	1.541413903798698021e-11
1.139554595947269888e+01	1.497565271446140221e-11
1.155846214294430041e+01	1.478220600694635904e-11
1.171504306793210048e+01	1.470069456405089725e-11
1.187117338180540038e+01	1.425407666933556358e-11
1.203351068496700016e+01	1.453894312362370276e-11
1.219549322128299984e+01	1.410103084642152845e-11
1.235189962387089935e+01	1.378831086703174648e-11
1.250566482543950109e+01	1.386874335368599723e-11
1.267751932144169835e+01	1.337685383572721310e-11
1.283660078048709785e+01	1.327196062356705649e-11
1.299496364593509945e+01	1.335165485026194800e-11
1.316465377807619852e+01	1.234193609221113890e-11
1.331505966186519885e+01	1.287643466429483951e-11
1.348113727569580078e+01	1.283989050123165498e-11
1.364473390579219902e+01	1.249121892960796990e-11
1.379549360275269976e+01	1.282766524987255006e-11
1.395186948776240143e+01	1.285348335837140282e-11
1.410747909545900036e+01	1.182766896098430546e-11
1.426688861846920098e+01	1.210202240342441458e-11
1.443339395523069868e+01	1.198330017485058863e-11
1.458955001831049891e+01	1.152908661621053368e-11
1.475150823593140181e+01	1.137501202921937800e-11
1.491457366943359908e+01	1.125186849378120864e-11
1.507149267196660070e+01	1.077976410449698360e-11
1.525090169906619941e+01	1.198864145247654617e-11
