# 	emperature (K), 	 magnetic moment (emu)
1.999124526977539951e+00	2.848654546754630215e-05
2.995806932449339488e+00	2.128176943075439927e-05
3.996436834335330257e+00	1.637566735765650034e-05
4.999916553497310012e+00	1.267208262498909884e-05
5.983668327331540304e+00	9.945673148209660901e-06
6.977031230926510119e+00	8.179502890820829450e-06
7.992202281951900744e+00	6.497962717927290638e-06
8.977110862731930041e+00	5.495688637472729860e-06
1.098239612579349966e+01	3.540025548891330142e-06
1.199224281311039952e+01	3.015606011327860061e-06
1.296828269958499824e+01	2.268897631373899802e-06
1.396317195892330254e+01	1.875994096396009807e-06
1.597059917449949928e+01	1.166782395159340002e-06
1.699296951293949931e+01	5.289468736792719517e-07
1.799870872497560370e+01	4.385824495874179745e-07
1.898849487304689987e+01	4.098970212120070306e-07
1.998365974426269887e+01	-7.336896544720298783e-08
2.098159980773930045e+01	-2.874227997160349653e-07
2.199977493286129970e+01	-6.854650039315939817e-07
2.299292945861819604e+01	-6.769783274091770368e-07
2.399419784545899859e+01	-8.302053620642859671e-07
2.499899291992189987e+01	-1.028724077788989997e-06
2.598630142211910155e+01	-1.192161306528720112e-06
2.699092864990230112e+01	-1.245376936680870019e-06
2.798888206481930396e+01	-1.430282632918559995e-06
3.099761009216310015e+01	-1.787030588094020019e-06
3.198963928222660158e+01	-1.842918720311029760e-06
3.297657775878909803e+01	-1.709474265782869811e-06
3.399029541015620026e+01	-1.840927522575360171e-06
3.499733734130860086e+01	-1.950684352832039834e-06
3.598934555053710227e+01	-1.947566178423749958e-06
3.698897933959960227e+01	-2.223267840804040283e-06
3.798349380493160510e+01	-2.082444595841019698e-06
3.899670410156250000e+01	-2.223846519953649908e-06
3.998437881469730115e+01	-2.420208668977319985e-06
4.099706268310550428e+01	-2.515640506119539935e-06
4.199456787109370026e+01	-2.491256117859450164e-06
4.296881103515620026e+01	-2.473259535549229676e-06
4.398128509521479401e+01	-2.543966344109880086e-06
4.499820709228520599e+01	-2.707512951794929820e-06
4.699777221679689632e+01	-2.839268443019109966e-06
4.798684692382810368e+01	-2.782857289828179726e-06
4.899388504028320312e+01	-2.710212185649089770e-06
4.999670028686520595e+01	-2.765743592027119661e-06
5.099412918090820312e+01	-2.701898469224729884e-06
5.199746704101560368e+01	-2.850979243212529973e-06
5.298883056640629974e+01	-2.868384952735130131e-06
5.399137496948240056e+01	-2.829172167546429736e-06
5.499675750732419743e+01	-2.988595221877950062e-06
5.598877334594729405e+01	-2.887857361056589989e-06
5.698101043701169743e+01	-2.944886842738579994e-06
5.799551391601560368e+01	-2.978159099795589773e-06
5.896752929687500000e+01	-3.203188736421840089e-06
5.999431610107419743e+01	-3.082556270399419986e-06
6.098999023437500000e+01	-3.085671604960869798e-06
6.196438217163089490e+01	-3.116298178070339820e-06
6.299153900146479401e+01	-3.178885965916289729e-06
6.399272918701169743e+01	-3.183966270974089760e-06
6.496637725830079546e+01	-3.123053359458179721e-06
6.598908233642579546e+01	-3.182823122097889968e-06
6.698738861083980112e+01	-3.161499365558909879e-06
6.798671722412110796e+01	-3.225536592190029766e-06
6.899737548828129263e+01	-3.244391371031000083e-06
6.999073028564450283e+01	-3.218395600552550184e-06
7.098867034912109375e+01	-3.424900372204389999e-06
7.196861267089840908e+01	-3.349664969952429857e-06
7.299991607666019888e+01	-3.285289304813849871e-06
7.399877929687500000e+01	-3.284851668409089913e-06
7.499205017089840908e+01	-3.387662725148200246e-06
7.598995208740230112e+01	-3.411455922917639768e-06
7.698851776123049717e+01	-3.299422262682849785e-06
7.797483825683590908e+01	-3.380991248315470138e-06
7.898915100097659092e+01	-3.632522381402249733e-06
7.999585723876950283e+01	-3.547312990754560043e-06
8.099301910400390625e+01	-3.386998684034169969e-06
8.199467468261720171e+01	-3.522987138781399452e-06
8.298823547363279829e+01	-3.453497650814430437e-06
8.399013519287109375e+01	-3.376393513543549995e-06
8.497798919677730112e+01	-3.694173779829160124e-06
8.599007415771480112e+01	-3.487269767955549482e-06
8.698649597167970171e+01	-3.562470541861340135e-06
8.799183654785160513e+01	-3.725170117193089894e-06
8.897582244873051138e+01	-3.503171385580520002e-06
8.998856353759769888e+01	-3.698493882969930095e-06
9.097913360595698862e+01	-3.529494457912979918e-06
9.199174499511720171e+01	-3.648178691122450429e-06
9.299977874755859375e+01	-3.782302923852290371e-06
9.398659515380859375e+01	-3.792976041746710106e-06
9.498944854736329546e+01	-3.646451100393620245e-06
9.599301147460941763e+01	-3.884790348546629945e-06
9.699760437011720171e+01	-3.722830826305789875e-06
9.798442840576170454e+01	-3.729006454391000267e-06
9.899692535400390625e+01	-3.823544584911170126e-06
9.998727416992191763e+01	-3.700386588609220210e-06
1.009980392456049856e+02	-3.709111347287419839e-06
1.019938201904300143e+02	-3.868758739240190228e-06
1.029984054565430114e+02	-3.707857487314119786e-06
1.039883956909180114e+02	-3.889318965666269604e-06
1.049935760498049859e+02	-3.718780681190350313e-06
1.059988403320310084e+02	-3.882309124966089926e-06
1.069938507080079972e+02	-3.847765946842729764e-06
1.079958343505859943e+02	-3.835825352395219893e-06
1.089908676147459943e+02	-3.792943999784089693e-06
1.099687652587890057e+02	-4.041493512122899764e-06
1.109862670898439916e+02	-3.790178746708030102e-06
1.119909896850589917e+02	-3.814839411555460715e-06
1.129985885620120030e+02	-3.902134161377890218e-06
1.139882431030270027e+02	-3.751413103566100474e-06
1.149818344116209943e+02	-3.931954167643009897e-06
1.159953536987300140e+02	-3.923652862359079836e-06
1.169968795776370030e+02	-3.792185778562049727e-06
1.179583740234370026e+02	-3.992889738885829774e-06
1.189800796508790057e+02	-3.796668479058979868e-06
1.199936904907229973e+02	-3.915856172949279886e-06
1.209807434082029971e+02	-3.874204374015399999e-06
1.219888992309569886e+02	-3.916599003533770301e-06
1.229930038452150001e+02	-3.880219392978670091e-06
1.239992980957029971e+02	-3.979198701664899902e-06
1.249928207397459943e+02	-3.951934970680529802e-06
1.259975891113279971e+02	-3.853646195135640265e-06
1.269827194213870030e+02	-3.899626906670459492e-06
1.279968719482420028e+02	-3.868179814604489635e-06
1.289896850585940058e+02	-3.892071234439420384e-06
1.299972991943359943e+02	-4.078656396914910169e-06
1.309878082275390057e+02	-3.955223131268090161e-06
1.319902191162109943e+02	-3.968702763127510407e-06
1.329957580566409945e+02	-3.891867603157660216e-06
1.339844207763669885e+02	-3.944453291160729756e-06
1.349820098876949999e+02	-3.859225218095570767e-06
1.359978179931640057e+02	-3.923921730863089810e-06
1.369954376220699999e+02	-4.006851042163770205e-06
1.379955749511720171e+02	-4.002060425328070357e-06
1.389905700683590055e+02	-3.987452487694190573e-06
1.399801635742190058e+02	-4.010478840937380317e-06
1.409980010986330115e+02	-4.069490246086649928e-06
1.419754333496090055e+02	-3.930318062946439850e-06
1.429988250732419885e+02	-4.072719309206440185e-06
1.439873504638669885e+02	-4.118894406935399554e-06
1.449920196533199999e+02	-3.929310248600299579e-06
1.459938659667970171e+02	-3.988321349110819694e-06
1.469958343505859943e+02	-4.063958481338200799e-06
1.479983367919919885e+02	-4.103328395852580105e-06
1.489827117919919885e+02	-3.847541369174960205e-06
1.499788513183590055e+02	-4.175754202025929792e-06
1.509947357177730112e+02	-4.107435929413860346e-06
1.519942474365230112e+02	-3.917096740858559983e-06
1.529878997802730112e+02	-4.024306538885910439e-06
1.539832611083980112e+02	-4.068974901670739804e-06
1.549893951416019888e+02	-4.150721352097619992e-06
1.559770889282229973e+02	-4.140681060290540266e-06
1.569855804443359943e+02	-4.017779074044909685e-06
1.579944610595699999e+02	-3.981856433023599800e-06
1.589894256591800001e+02	-4.001322270936019497e-06
1.599982299804690058e+02	-4.219600794492150210e-06
1.609860229492190058e+02	-4.281997146869780293e-06
1.619995880126949999e+02	-4.197865984004759828e-06
1.629909210205080115e+02	-4.313671825908870226e-06
1.639936523437500000e+02	-4.154054724206320544e-06
1.649839477539059942e+02	-4.081889903641940169e-06
1.659982299804690058e+02	-4.345121768615130038e-06
1.669924011230470171e+02	-4.111059040119249513e-06
1.679806518554690058e+02	-4.238727509687199857e-06
1.689801635742190058e+02	-4.090660771180940387e-06
1.699780273437500000e+02	-4.064061648392050450e-06
1.709837646484379832e+02	-4.318627654782579860e-06
1.719985504150389772e+02	-4.198826132028009543e-06
1.729936828613280113e+02	-4.098464461058289800e-06
1.739762878417969887e+02	-4.261130243204219930e-06
1.749765472412110228e+02	-4.048907319251109984e-06
1.759998016357419885e+02	-4.186927999345860617e-06
1.769918518066409945e+02	-4.166032925558940431e-06
1.779870910644530113e+02	-4.289108754640260701e-06
1.789997406005860228e+02	-4.251564363608559807e-06
1.799988250732419885e+02	-4.329930852252310298e-06
1.809937438964840055e+02	-4.143567250433260756e-06
1.819774169921870168e+02	-4.144206702150830334e-06
1.829980773925780113e+02	-4.166729025901470060e-06
1.839933319091800001e+02	-4.416192557412179955e-06
1.849890899658199999e+02	-4.267261814525719859e-06
1.859926452636719887e+02	-4.250111560828440342e-06
1.869989776611330115e+02	-4.273090805893780065e-06
1.879936676025389772e+02	-4.051539524700629968e-06
1.889930725097659945e+02	-4.335433239634580151e-06
1.899897155761719887e+02	-4.348509666741909461e-06
1.909900970458980112e+02	-4.189215312359230182e-06
1.919928283691409945e+02	-4.364565872687680189e-06
1.929977569580080115e+02	-4.207512359357140002e-06
1.939952850341800001e+02	-4.320119090328280267e-06
1.949928894042969887e+02	-4.287465232352370059e-06
1.959939270019530113e+02	-4.418672345349349941e-06
1.969873352050780113e+02	-4.286427563798200104e-06
1.979877777099610228e+02	-4.196298861704100326e-06
1.989884033203129832e+02	-4.169566927482769661e-06
1.999875335693360228e+02	-4.300303585200750112e-06
2.009935760498050001e+02	-4.449638438602069772e-06
2.019982910156250000e+02	-4.246622977171040461e-06
2.029988708496090055e+02	-4.372291020871050228e-06
2.049952697753909945e+02	-4.216124761402179392e-06
2.059842071533199999e+02	-4.139202539339260524e-06
2.069996185302730112e+02	-4.324121858388739962e-06
2.079936981201169885e+02	-4.461618077915160671e-06
2.089946899414059942e+02	-4.192616874807649628e-06
2.099918975830080115e+02	-4.336403300517769435e-06
2.109942779541019888e+02	-4.324721142457129391e-06
2.119829559326169885e+02	-4.196206021517429853e-06
2.129967193603519888e+02	-4.319528159041280230e-06
2.139902648925780113e+02	-4.189625384873070158e-06
2.149873199462889772e+02	-4.227808115094330137e-06
2.159918975830080115e+02	-4.431820549205210218e-06
2.169893188476559942e+02	-4.214811502610690720e-06
2.179987640380860228e+02	-4.266904122672000460e-06
2.189786529541019888e+02	-4.385274510520789990e-06
2.199950256347659945e+02	-4.319350668767109330e-06
2.209802703857419885e+02	-4.237073057670379614e-06
2.219942626953129832e+02	-4.215065163606449796e-06
2.229967041015620168e+02	-4.280995882438139925e-06
2.239918518066409945e+02	-4.326053562898840731e-06
2.249898986816409945e+02	-4.410666300932140396e-06
2.259994659423830115e+02	-4.388704662437309751e-06
2.269742736816409945e+02	-4.434694577500760155e-06
2.279878692626949999e+02	-4.296358359874250123e-06
2.289945831298830115e+02	-4.231304859371459934e-06
2.299918670654300001e+02	-4.293559137991639431e-06
2.309994812011719887e+02	-4.295477446333840593e-06
2.319749450683590055e+02	-4.393912032123139957e-06
2.329858551025389772e+02	-4.352739313172459767e-06
2.339934844970699999e+02	-4.282853589780709627e-06
2.349997406005860228e+02	-4.452355702850550211e-06
2.359859161376949999e+02	-4.507949993120379526e-06
2.369947814941409945e+02	-4.179890345848800298e-06
2.379879760742190058e+02	-4.429536504263299313e-06
2.389976348876949999e+02	-4.474705282806439750e-06
2.399946899414059942e+02	-4.437938328877099669e-06
2.409968566894530113e+02	-4.449649298821369998e-06
2.419711608886719887e+02	-4.466662134651940098e-06
2.429920196533199999e+02	-4.370545502831729615e-06
2.439990539550780113e+02	-4.447814188411480361e-06
2.449953765869139772e+02	-4.450475393520649966e-06
2.459989929199219887e+02	-4.438246840666000619e-06
2.469990692138669885e+02	-4.363892716266020115e-06
2.479956359863280113e+02	-4.579156929445649511e-06
2.489928894042969887e+02	-4.632320459250200286e-06
2.499967346191409945e+02	-4.428091578216709728e-06
2.509958038330080115e+02	-4.506434849813610146e-06
2.519976348876949999e+02	-4.582618246571710267e-06
2.529977569580080115e+02	-4.403866472271650051e-06
2.539829101562500000e+02	-4.324353549397960222e-06
2.549970703125000000e+02	-4.386629224334179681e-06
2.559907836914059942e+02	-4.358969865445759938e-06
2.569640502929690342e+02	-4.456268161563359945e-06
2.579809570312500000e+02	-4.489245257090000104e-06
2.589895935058589771e+02	-4.549318578404239756e-06
2.599973449707030113e+02	-4.403101088784590483e-06
2.609897460937500000e+02	-4.340508749277559636e-06
2.619940185546869884e+02	-4.489990476994900302e-06
2.629880981445309658e+02	-4.407139601504760159e-06
2.639879760742190342e+02	-4.365037211797059820e-06
2.649799499511719887e+02	-4.406468475887560262e-06
2.659895629882809658e+02	-4.535711030714859417e-06
2.669953613281250000e+02	-4.570207206969090371e-06
2.679988098144530113e+02	-4.605101493551730560e-06
2.689835510253910229e+02	-4.392571526326360453e-06
2.699821166992190342e+02	-4.353511200278860065e-06
2.709824829101559658e+02	-4.419426363359790384e-06
2.719989013671869884e+02	-4.396426186957199610e-06
2.729855957031250000e+02	-4.460608162036450237e-06
2.739849853515619884e+02	-4.435330136627809560e-06
2.749771423339839771e+02	-4.438816122241639442e-06
2.759916992187500000e+02	-4.495970582046859594e-06
2.769996643066410229e+02	-4.564023996135699825e-06
2.779894104003910229e+02	-4.529687085720140283e-06
2.789987792968750000e+02	-4.476509915836939607e-06
2.799974670410160229e+02	-4.355185012080570285e-06
2.809951171875000000e+02	-4.589850308307640290e-06
2.819846496582030113e+02	-4.394889474653060483e-06
2.829932250976559658e+02	-4.530728186000530299e-06
2.839958190917969887e+02	-4.503815821013559813e-06
2.849816284179690342e+02	-4.518710308329490047e-06
2.859959411621089771e+02	-4.472087486274310407e-06
2.869976196289059658e+02	-4.532494317687640663e-06
2.879935913085940342e+02	-4.485097638920379815e-06
2.889927062988280113e+02	-4.640061869100839600e-06
2.899934387207030113e+02	-4.472865953538120494e-06
2.909998168945309658e+02	-4.507300376155490382e-06
2.919967041015619884e+02	-4.534988605395469361e-06
2.929822387695309658e+02	-4.503499733492759661e-06
2.939888305664059658e+02	-4.495934147654830061e-06
2.949974670410160229e+02	-4.530646842138639561e-06
2.959989013671880116e+02	-4.458478632196720178e-06
2.969936828613280113e+02	-4.590402201632720020e-06
2.979917297363280113e+02	-4.526534940028679577e-06
2.989899902343750000e+02	-4.577486692461820376e-06
2.998416442871089771e+02	-4.492470221172730400e-06
2.998335266113280113e+02	-4.484337842697979970e-06
