# Temperature (K), 	 Pt100 Resistance (Ohm)
5.929049968719479757e+00	8.695901298522950018e-01
5.523149967193599963e+00	8.683224368095400214e-01
5.605500221252439630e+00	8.685577249526980070e-01
5.689150094985960138e+00	8.687544226646419787e-01
5.773750066757200372e+00	8.689810085296629794e-01
5.891449928283689630e+00	8.694686794281010211e-01
5.947849988937379706e+00	8.696429395675659979e-01
6.037049770355220168e+00	8.699290299415589622e-01
6.126999855041500354e+00	8.702031016349790482e-01
6.216799974441530097e+00	8.704698038101199575e-01
6.524849891662600321e+00	8.718653678894040526e-01
6.405200004577640271e+00	8.713412284851069778e-01
6.500400066375729757e+00	8.717136955261229891e-01
6.597699880599980027e+00	8.720843505859370293e-01
6.696700096130370206e+00	8.724780130386350363e-01
6.882600069046019620e+00	8.735501050949100454e-01
6.896350145339970261e+00	8.733852887153630284e-01
7.000299930572509766e+00	8.740345597267149547e-01
7.105099916458129883e+00	8.745756459236140312e-01
7.211650133132930129e+00	8.751505970954890357e-01
7.318600177764889914e+00	8.757644653320310058e-01
7.427799940109250265e+00	8.764125084877010252e-01
7.538599967956540304e+00	8.770988392829890401e-01
7.651599884033199572e+00	8.778373551368710004e-01
7.765500068664549893e+00	8.786031985282900525e-01
7.881450176239010119e+00	8.794003248214720125e-01
7.999449968338010031e+00	8.802715873718259809e-01
8.118450164794920099e+00	8.811849880218509679e-01
8.239300251007080078e+00	8.821502780914309838e-01
8.362899780273439276e+00	8.831999278068539683e-01
8.487949848175050604e+00	8.842614555358889739e-01
8.614649772644039416e+00	8.853880190849300336e-01
8.743249893188480115e+00	8.866093349456789507e-01
8.873250007629389202e+00	8.878675842285159714e-01
9.006199836730960584e+00	8.892187285423279741e-01
9.140199661254879260e+00	8.906607437133789995e-01
9.277299880981450642e+00	8.921541380882259675e-01
9.415899753570560193e+00	8.937706446647639691e-01
9.555749893188480115e+00	8.954562902450560191e-01
9.699649810791019178e+00	8.972389745712280318e-01
9.844099998474119317e+00	8.991238927841189721e-01
9.990599632263180041e+00	9.011111831665039595e-01
1.014015007019039949e+01	9.032448363304139693e-01
1.029159975051880060e+01	9.054582715034480422e-01
1.044454956054689987e+01	9.078211021423340243e-01
1.060099983215330077e+01	9.102916383743290263e-01
1.075915002822880062e+01	9.128984594345089798e-01
1.091949987411499912e+01	9.157057547569279476e-01
1.108290004730219991e+01	9.186623144149780318e-01
1.124795007705690075e+01	9.217354416847229892e-01
1.141669988632200017e+01	9.250873947143549714e-01
1.158665037155149946e+01	9.285372424125669655e-01
1.175979995727539951e+01	9.321918845176699886e-01
1.193489980697630060e+01	9.360668563842770018e-01
1.211355018615719992e+01	9.401401901245119985e-01
1.229414987564089934e+01	9.444585704803469817e-01
1.247779989242549981e+01	9.490009713172909978e-01
1.266389989852910070e+01	9.538304281234739612e-01
1.285330009460449929e+01	9.588948130607609643e-01
1.304514980316159978e+01	9.642436385154720124e-01
