Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.009036E+04   -1.478698E+04   -2.0516E+00
   1.500   8.800476E+03   -1.125061E+04   -1.9176E+00
   1.600   7.800762E+03   -8.905865E+03   -1.8267E+00
   1.700   6.996306E+03   -7.259373E+03   -1.7639E+00
   1.800   6.335725E+03   -6.009076E+03   -1.7072E+00
   1.900   5.785080E+03   -5.042325E+03   -1.6561E+00
   2.000   5.320465E+03   -4.279951E+03   -1.6089E+00
   2.100   4.924041E+03   -3.669638E+03   -1.5650E+00
   2.200   4.582747E+03   -3.173236E+03   -1.5233E+00
   2.300   4.286433E+03   -2.765951E+03   -1.4841E+00
   2.400   4.027215E+03   -2.429028E+03   -1.4476E+00
   2.500   3.798767E+03   -2.148028E+03   -1.4136E+00
   2.600   3.596127E+03   -1.911564E+03   -1.3821E+00
   2.700   3.415255E+03   -1.711141E+03   -1.3528E+00
   2.800   3.252923E+03   -1.540008E+03   -1.3256E+00
   2.900   3.106455E+03   -1.392902E+03   -1.3003E+00
   3.000   2.973684E+03   -1.265575E+03   -1.2768E+00
   3.100   2.852790E+03   -1.154752E+03   -1.2548E+00
   3.200   2.742275E+03   -1.057690E+03   -1.2342E+00
   3.300   2.640865E+03   -9.722600E+02   -1.2149E+00
   3.400   2.547496E+03   -8.966731E+02   -1.1967E+00
   3.500   2.461250E+03   -8.295035E+02   -1.1796E+00
   3.600   2.381355E+03   -7.695377E+02   -1.1633E+00
   3.700   2.307135E+03   -7.158081E+02   -1.1480E+00
   3.800   2.238013E+03   -6.674806E+02   -1.1333E+00
   3.900   2.173483E+03   -6.238471E+02   -1.1194E+00
   4.000   2.113107E+03   -5.843143E+02   -1.1061E+00
   4.200   2.003313E+03   -5.157871E+02   -1.0814E+00
   4.400   1.906042E+03   -4.585382E+02   -1.0585E+00
   4.600   1.819300E+03   -4.102600E+02   -1.0373E+00
   4.800   1.741442E+03   -3.693640E+02   -1.0181E+00
   5.000   1.671171E+03   -3.342416E+02   -1.0000E+00
   5.200   1.607420E+03   -3.039786E+02   -9.8337E-01
   5.400   1.549320E+03   -2.776242E+02   -9.6763E-01
   5.600   1.496142E+03   -2.546902E+02   -9.5330E-01
   5.800   1.447264E+03   -2.344906E+02   -9.3974E-01
   6.000   1.402193E+03   -2.165867E+02   -9.2678E-01
   6.500   1.303433E+03   -1.802063E+02   -8.9866E-01
   7.000   1.220578E+03   -1.524373E+02   -8.7423E-01
   7.500   1.149950E+03   -1.308919E+02   -8.5368E-01
   8.000   1.088963E+03   -1.137141E+02   -8.3539E-01
   8.500   1.035663E+03   -9.993694E+01   -8.2021E-01
   9.000   9.886230E+02   -8.859357E+01   -8.0652E-01
   9.500   9.467384E+02   -7.921880E+01   -7.9492E-01
  10.000   9.091604E+02   -7.131916E+01   -7.8445E-01
  10.500   8.752128E+02   -6.464533E+01   -7.7556E-01
  11.000   8.443599E+02   -5.891113E+01   -7.6747E-01
  11.500   8.161675E+02   -5.397603E+01   -7.6054E-01
  12.000   7.902784E+02   -4.967906E+01   -7.5435E-01
  12.500   7.663965E+02   -4.592703E+01   -7.4907E-01
  13.000   7.442831E+02   -4.259074E+01   -7.4391E-01
  13.500   7.237442E+02   -3.962599E+01   -7.3914E-01
  14.000   7.045969E+02   -3.702067E+01   -7.3558E-01
  14.500   6.866704E+02   -3.472645E+01   -7.3330E-01
  15.000   6.698369E+02   -3.263920E+01   -7.3091E-01
  15.500   6.540007E+02   -3.073652E+01   -7.2846E-01
  16.000   6.390698E+02   -2.901638E+01   -7.2647E-01
  16.500   6.249567E+02   -2.746049E+01   -7.2501E-01
  17.000   6.115870E+02   -2.603937E+01   -7.2380E-01
  17.500   5.988970E+02   -2.473967E+01   -7.2290E-01
  18.000   5.868296E+02   -2.354670E+01   -7.2226E-01
  18.500   5.753341E+02   -2.245020E+01   -7.2189E-01
  19.000   5.643655E+02   -2.143765E+01   -7.2172E-01
  19.500   5.538837E+02   -2.050128E+01   -7.2177E-01
  20.000   5.438530E+02   -1.963228E+01   -7.2197E-01
  21.000   5.250192E+02   -1.807184E+01   -7.2285E-01
  22.000   5.076426E+02   -1.671066E+01   -7.2420E-01
  23.000   4.915428E+02   -1.551449E+01   -7.2595E-01
  24.000   4.765686E+02   -1.445469E+01   -7.2794E-01
  25.000   4.625945E+02   -1.351106E+01   -7.3018E-01
  26.000   4.495141E+02   -1.266512E+01   -7.3255E-01
  27.000   4.372364E+02   -1.190300E+01   -7.3503E-01
  28.000   4.256837E+02   -1.121360E+01   -7.3759E-01
  29.000   4.147885E+02   -1.058676E+01   -7.4017E-01
  30.000   4.044918E+02   -1.001500E+01   -7.4278E-01
  31.000   3.947424E+02   -9.491514E+00   -7.4539E-01
  32.000   3.854947E+02   -9.010589E+00   -7.4797E-01
  33.000   3.767085E+02   -8.567753E+00   -7.5054E-01
  34.000   3.683479E+02   -8.158594E+00   -7.5307E-01
  35.000   3.603814E+02   -7.779174E+00   -7.5551E-01
  36.000   3.527803E+02   -7.427474E+00   -7.5795E-01
  37.000   3.455183E+02   -7.100368E+00   -7.6035E-01
  38.000   3.385724E+02   -6.795043E+00   -7.6265E-01
  39.000   3.319214E+02   -6.510129E+00   -7.6493E-01
  40.000   3.255460E+02   -6.243567E+00   -7.6715E-01
  42.000   3.135538E+02   -5.758950E+00   -7.7140E-01
  44.000   3.024726E+02   -5.330744E+00   -7.7545E-01
  46.000   2.921988E+02   -4.950368E+00   -7.7932E-01
  48.000   2.826443E+02   -4.610466E+00   -7.8297E-01
  50.000   2.737334E+02   -4.305866E+00   -7.8651E-01
  52.000   2.654009E+02   -4.031283E+00   -7.8985E-01
  54.000   2.575909E+02   -3.782839E+00   -7.9301E-01
  56.000   2.502538E+02   -3.557901E+00   -7.9616E-01
  58.000   2.433461E+02   -3.352850E+00   -7.9913E-01
  60.000   2.368304E+02   -3.165765E+00   -8.0203E-01
  65.000   2.220430E+02   -2.763405E+00   -8.0895E-01
  70.000   2.090720E+02   -2.435831E+00   -8.1555E-01
  75.000   1.975900E+02   -2.165263E+00   -8.2188E-01
  77.350   1.926340E+02   -2.054097E+00   -8.2480E-01
  80.000   1.873451E+02   -1.939355E+00   -8.2814E-01
  85.000   1.781375E+02   -1.748889E+00   -8.3450E-01
  90.000   1.698098E+02   -1.586300E+00   -8.4075E-01
  95.000   1.622372E+02   -1.446115E+00   -8.4679E-01
 100.000   1.553180E+02   -1.324355E+00   -8.5267E-01
 105.000   1.489685E+02   -1.217709E+00   -8.5830E-01
 110.000   1.431197E+02   -1.123793E+00   -8.6373E-01
 115.000   1.377127E+02   -1.040603E+00   -8.6898E-01
 120.000   1.326986E+02   -9.664596E-01   -8.7397E-01
 125.000   1.280352E+02   -9.000719E-01   -8.7873E-01
 130.000   1.236868E+02   -8.403397E-01   -8.8323E-01
 135.000   1.196222E+02   -7.863784E-01   -8.8747E-01
 140.000   1.158147E+02   -7.374239E-01   -8.9142E-01
 145.000   1.122406E+02   -6.928605E-01   -8.9508E-01
 150.000   1.088796E+02   -6.521515E-01   -8.9845E-01
 155.000   1.057134E+02   -6.148550E-01   -9.0152E-01
 160.000   1.027261E+02   -5.805838E-01   -9.0428E-01
 165.000   9.990311E+01   -5.490138E-01   -9.0675E-01
 170.000   9.723189E+01   -5.198593E-01   -9.0892E-01
 175.000   9.470090E+01   -4.928778E-01   -9.1080E-01
 180.000   9.229985E+01   -4.678536E-01   -9.1239E-01
 185.000   9.001941E+01   -4.446014E-01   -9.1371E-01
 190.000   8.785116E+01   -4.229556E-01   -9.1475E-01
 195.000   8.578742E+01   -4.027725E-01   -9.1553E-01
 200.000   8.382122E+01   -3.839220E-01   -9.1605E-01
 205.000   8.194616E+01   -3.662909E-01   -9.1633E-01
 210.000   8.015645E+01   -3.497760E-01   -9.1637E-01
 215.000   7.844670E+01   -3.342867E-01   -9.1618E-01
 220.000   7.681201E+01   -3.197401E-01   -9.1578E-01
 225.000   7.524785E+01   -3.060626E-01   -9.1516E-01
 230.000   7.375005E+01   -2.931870E-01   -9.1435E-01
 235.000   7.231474E+01   -2.810531E-01   -9.1333E-01
 240.000   7.093837E+01   -2.696057E-01   -9.1214E-01
 245.000   6.961762E+01   -2.587952E-01   -9.1076E-01
 250.000   6.834943E+01   -2.485759E-01   -9.0921E-01
 255.000   6.713095E+01   -2.389066E-01   -9.0750E-01
 260.000   6.595952E+01   -2.297490E-01   -9.0563E-01
 265.000   6.483266E+01   -2.210689E-01   -9.0361E-01
 270.000   6.374808E+01   -2.128341E-01   -9.0144E-01
 273.150   6.308553E+01   -2.078620E-01   -9.0001E-01
 275.000   6.270363E+01   -2.050157E-01   -8.9914E-01
 280.000   6.169728E+01   -1.975866E-01   -8.9670E-01
 285.000   6.072715E+01   -1.905223E-01   -8.9414E-01
 290.000   5.979149E+01   -1.837998E-01   -8.9146E-01
 295.000   5.888862E+01   -1.773984E-01   -8.8867E-01
 300.000   5.801700E+01   -1.712984E-01   -8.8577E-01
 305.000   5.717516E+01   -1.654819E-01   -8.8276E-01
 310.000   5.636174E+01   -1.599321E-01   -8.7966E-01
 315.000   5.557542E+01   -1.546341E-01   -8.7646E-01
 320.000   5.481500E+01   -1.495730E-01   -8.7318E-01
 325.000   5.407932E+01   -1.447356E-01   -8.6982E-01
