[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3737893160.926,06/11/2018,4:42 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty brass,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.32,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3737895484.52047,2.07373857498169,999.640686035156,-1.28609819247198E-6,7.24687786084417E-9,1,5,14.0008964538574,3.98006075406015,30.009999871254,-0.00113150437395989,-0.000196675175372896,10,-2.86430007638295E-8,2.00833964347839,2.13913750648499,999.640686035156,999.640686035156,50.1656999927553,5.78719602330293,1.7241622209549,70,1,0,0,1,0.261611938476562,27.8592376708984,6,1,1,2.13913750648499,0,2.07373857498169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895488.72788,2.23902344703674,999.640686035156,-1.18426000075724E-6,7.43057811179012E-9,1,5,14.0008964538574,3.98005747111962,30.009999871254,-0.0010427886227276,-0.000175255709067697,10,-1.97528526632682E-8,2.14622521400452,2.33182168006897,999.640686035156,999.640686035156,50.3747856216496,5.78751258792273,1.79804766178131,70,1,0,0,1,0.259475708007813,27.8592376708984,6,1,1,2.33182168006897,0,2.23902344703674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895493.68871,2.42978799343109,999.640686035156,-1.09566270218799E-6,7.57204526435204E-9,1,5,14.0008964538574,3.98004596021587,30.009999871254,-0.000962550921732572,-0.000176847727023216,10,-3.49320345369407E-8,2.33182168006897,2.52775430679321,999.640686035156,999.640686035156,50.2551964582072,5.78768160594773,1.8635538816452,70,1,0,0,1,0.260086059570313,27.8592376708984,6,1,1,2.52775430679321,0,2.42978799343109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895498.68048,2.62442886829376,999.640686035156,-1.00375798500476E-6,7.1499942551288E-9,1,5,14.0008964538574,3.98002168914974,30.009999871254,-0.000881393717271051,-0.000164723836505192,10,-3.50738647342838E-8,2.52775430679321,2.72110342979431,999.640686035156,999.640686035156,50.2051722329765,5.78797834523404,1.93168103694916,70,1,0,0,1,0.265121459960938,27.8592376708984,6,1,1,2.72110342979431,0,2.62442886829376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895503.68183,2.82346379756927,999.640686035156,-9.19014359743954E-7,6.53790170970499E-9,1,5,14.0008964538574,3.98006086817314,30.009999871254,-0.000807353869182085,-0.000148432408937446,10,-2.94089628948677E-8,2.72110342979431,2.92582416534424,999.640686035156,999.640686035156,50.1774244205438,5.7876887452018,1.98925602436066,70,1,0,0,1,0.26153564453125,27.8592376708984,6,1,1,2.92582416534424,0,2.82346379756927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895521.24579,3.55044054985046,999.640686035156,-7.02611451169091E-7,7.2663044347284E-9,1,5,14.0008964538574,3.98003235381549,30.009999871254,-0.000616392866277326,-0.000119070375922903,1,-2.8817612179871E-8,3.55044054985046,3.55044054985046,999.640686035156,999.640686035156,50.2348741167072,5.78789335559703,2.18192005157471,70,1,0,0,1,0.261611938476562,27.8592376708984,6,1,1,3.55044054985046,0,3.55044054985046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895523.78873,3.6507396697998,999.640686035156,-6.3924873318177E-7,7.38846912951015E-9,1,5,14.0008964538574,3.9800762664861,30.009999871254,-0.000560521743987333,-0.000110279414393406,1,-2.84221967634854E-8,3.55044054985046,3.75103878974915,999.640686035156,999.640686035156,50.3071747547361,5.78827602519184,2.23258781433105,70,1,0,0,1,0.264968872070313,27.8592376708984,6,1,1,3.75103878974915,0,3.6507396697998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895528.79713,3.86252462863922,999.640686035156,-5.77816800707718E-7,6.66983908074251E-9,1,5,14.0008964538574,3.98005152056256,30.009999871254,-0.000506523132780938,-0.000100523962818814,1,-2.66462442887647E-8,3.75815415382385,3.96689510345459,999.640686035156,999.640686035156,50.1059054110341,5.78806288860347,2.29072117805481,70,1,0,0,1,0.261306762695313,27.8592376708984,6,1,1,3.96689510345459,0,3.86252462863922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895534.00302,4.07958650588989,999.640686035156,-5.17618838906353E-7,7.30195114219455E-9,1,5,14.0008964538574,3.98003126932866,30.0200004130602,-0.000452849075498562,-9.60116044661608E-5,1,-3.06230784633442E-8,3.97129344940186,4.18787956237793,999.640686035156,999.640686035156,50.1918845481495,5.78824983800569,2.34871768951416,70,1,0,0,1,0.264739990234375,27.8592376708984,6,1,1,4.18787956237793,0,4.07958650588989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895539.14076,4.30007004737854,999.640686035156,-4.61331044367027E-7,6.11468154385754E-9,1,5,14.0008964538574,3.97997224861389,30.0200004130602,-0.000403783646567316,-8.43194111001029E-5,1,-2.58775130512055E-8,4.19534254074097,4.40479755401611,999.640686035156,999.640686035156,50.1891488483322,5.78844420733381,2.395427942276,70,1,0,0,1,0.265655517578125,27.8592376708984,6,1,1,4.40479755401611,0,4.30007004737854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
