[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3737912175.60329,06/11/2018,9:59 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty brass,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.32,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3737912242.87519,1.99978125095367,9999.71875,-2.33892326908082E-5,1.51715282450215E-8,1,5,14.0008964538574,3.99915739400935,30.0299990922213,-0.0207790435703346,-0.00331682330406958,1,-1.9782334785174E-7,1.99978125095367,1.99978125095367,9999.71875,9999.71875,50.2575413437649,5.79213569041875,1.66332185268402,69,1,68,0,0,0.267105102539062,27.8592376708984,1,1,1,1.99978125095367,0,1.99978125095367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912247.80213,2.12114775180817,9999.71875,-2.3370760929835E-5,2.49586618157227E-8,1,5,14.0008964538574,3.99913310126215,30.0200004130602,-0.0207590055278859,-0.00333686926534404,1,-2.23183487568389E-7,2.0374813079834,2.20481419563293,9999.71875,9999.71875,50.2700474000726,5.79273235039071,1.73468935489655,70,1,0,0,1,0.27130126953125,27.8592376708984,6,1,1,2.20481419563293,0,2.12114775180817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912252.61473,2.31003284454346,9999.71875,-2.25662900044504E-5,3.06751024427934E-8,1,5,14.0008964538574,3.99914769663211,30.0299990922213,-0.0200439000282788,-0.00322635436934919,1,-2.20366986529934E-7,2.2190568447113,2.40100884437561,9999.71875,9999.71875,50.1895396625918,5.79222145479573,1.80036962032318,70,1,0,0,1,0.267257690429687,27.8592376708984,6,1,1,2.40100884437561,0,2.31003284454346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912257.37708,2.48763060569763,9999.71875,-2.15626340905438E-5,3.67292897941245E-8,1,5,14.0008964538574,3.99916855393188,30.0299990922213,-0.0191502119720005,-0.00309863114709021,1,-2.28267348044148E-7,2.40100884437561,2.57425236701965,9999.71875,9999.71875,50.2395638878226,5.79232418435193,1.85260772705078,70,1,0,0,1,0.266952514648438,27.8592376708984,6,1,1,2.57425236701965,0,2.48763060569763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912262.40156,2.69031715393066,9999.71875,-2.04469995102725E-5,3.89158909926619E-8,1,5,14.0008964538574,3.9991419593885,30.0299990922213,-0.018157136081682,-0.00295196175229395,1,-2.31838802099613E-7,2.60416722297668,2.77646708488464,9999.71875,9999.71875,50.2360465594861,5.7925280657859,1.92496371269226,70,1,0,0,1,0.27069091796875,27.8592376708984,6,1,1,2.77646708488464,0,2.69031715393066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912267.02236,2.87521207332611,9999.71875,-1.92735516588667E-5,3.95573074452118E-8,1,5,14.0008964538574,3.99915910789322,30.0200004130602,-0.01711238279526,-0.00280136252506205,1,-2.39661482818917E-7,2.77646708488464,2.97395706176758,9999.71875,9999.71875,50.2469893587553,5.79258082169825,1.99220108985901,70,1,0,0,1,0.27099609375,27.8592376708984,6,1,1,2.97395706176758,0,2.87521207332611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912272.00857,3.07708585262299,9999.71875,-1.80664103494549E-5,4.10449594021731E-8,1,5,14.0008964538574,3.99912439835462,30.0200004130602,-0.0160382466671276,-0.00263998766246802,1,-2.40520653074615E-7,2.97395706176758,3.18021464347839,9999.71875,9999.71875,50.2446444731976,5.79309391650945,2.0474579334259,70,1,0,0,1,0.270538330078125,27.8592376708984,6,1,1,3.18021464347839,0,3.07708585262299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912277.04901,3.28521609306335,9999.71875,-1.69018329935784E-5,3.9731762011981E-8,1,5,14.0008964538574,3.99913548702412,30.0200004130602,-0.0150043666935857,-0.00247052661845769,1,-2.25807959038679E-7,3.18021464347839,3.39021754264832,9999.71875,9999.71875,50.2055630472361,5.79286621742692,2.10790872573853,70,1,0,0,1,0.273971557617187,27.8592376708984,6,1,1,3.39021754264832,0,3.28521609306335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912282.05548,3.49027836322784,9999.71875,-1.57567401751893E-5,3.77860761603064E-8,1,5,14.0008964538574,3.99912520316791,30.0200004130602,-0.0139862393321826,-0.00231327347878116,1,-2.2190163599137E-7,3.39021754264832,3.59033918380737,9999.71875,9999.71875,50.2731739141496,5.79263224527029,2.16834354400635,70,1,0,0,1,0.270004272460938,27.8592376708984,6,1,1,3.59033918380737,0,3.49027836322784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737912287.02665,3.69070756435394,9999.71875,-1.46891915885272E-5,3.56768099745394E-8,1,5,14.0008964538574,3.99910155097747,30.0200004130602,-0.0130346995502752,-0.00218184814417978,1,-2.35336302117802E-7,3.59033918380737,3.79107594490051,9999.71875,9999.71875,50.2110344468707,5.79304858749351,2.21107959747314,70,1,0,0,1,0.268478393554687,27.8592376708984,6,1,1,3.79107594490051,0,3.69070756435394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
