[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3737929462.55623,06/12/2018,2:47 am
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty brass,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.32,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3737929668.63925,2.0000364780426,49999.6640625,-3.87032678315472E-5,5.53926965823633E-8,1,5,14.0008964538574,4.00574317859027,30.0299990922213,-0.0343869913576429,-0.00608209296009038,1,-9.76726890645472E-7,2.0000364780426,2.0000364780426,49999.6640625,49999.6640625,51.2705319046881,5.79337760144348,1.6492520570755,70,1,0,0,1,0.268020629882813,27.8592376708984,1,1,1,2.0000364780426,0,2.0000364780426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929672.22782,2.03088712692261,49999.6640625,-3.89510187528984E-5,5.93515937896615E-8,1,5,14.0008964538574,3.99880281255364,30.0299990922213,-0.0345125223853167,-0.00609750183708085,1,-9.75539068338058E-7,2.00210928916931,2.0596649646759,49999.6640625,49999.6640625,51.2885093606304,5.79367127141356,1.66596174240112,70,1,0,0,1,0.268630981445313,27.8592376708984,6,1,1,2.0596649646759,0,2.03088712692261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929675.6744,2.15769040584564,49999.6640625,-3.86127559898543E-5,5.80993267641986E-8,1,5,14.0008964538574,3.99880786673489,30.0299990922213,-0.0342067968165061,-0.00608481720124136,1,-1.01232820297418E-6,2.0668637752533,2.24851703643799,49999.6640625,49999.6640625,51.266623762092,5.79394505394924,1.73307943344116,70,1,0,0,1,0.268173217773438,27.8592376708984,6,1,1,2.24851703643799,0,2.15769040584564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929680.81112,2.35448086261749,49999.6640625,-3.81095184071812E-5,5.50186922578322E-8,1,5,14.0008964538574,3.99882388444503,30.0200004130602,-0.0337592803485806,-0.00601825272903608,1,-1.01341377192191E-6,2.25999784469604,2.44896388053894,49999.6640625,49999.6640625,51.2013577807362,5.79407499246605,1.80623209476471,70,1,0,0,1,0.269012451171875,27.8592376708984,6,1,1,2.44896388053894,0,2.35448086261749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929685.95822,2.55995452404022,49999.6640625,-3.75237180420543E-5,5.26111374141003E-8,1,5,14.0008964538574,3.99876089982519,30.0299990922213,-0.0332481338816833,-0.00586849642358392,1,-9.33637737296516E-7,2.46256279945374,2.65734624862671,49999.6640625,49999.6640625,51.0657452326496,5.7932686568356,1.88236796855927,70,1,0,0,1,0.269012451171875,27.8592376708984,6,1,1,2.65734624862671,0,2.55995452404022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929690.73562,2.74519121646881,49999.6640625,-3.69313950546895E-5,5.76224453477352E-8,1,5,14.0008964538574,3.99878789470731,30.0200004130602,-0.0327129970512989,-0.00584652118678058,1,-9.98277058661021E-7,2.66346025466919,2.82692217826843,49999.6640625,49999.6640625,51.1243673715919,5.79403503863907,1.93579208850861,70,1,0,0,1,0.265426635742187,27.8592376708984,6,1,1,2.82692217826843,0,2.74519121646881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929695.63172,2.94509077072144,49999.6640625,-3.61773168597138E-5,6.15506828221759E-8,1,5,14.0008964538574,3.99876738983346,30.0299990922213,-0.0320432740264812,-0.00573713618426639,1,-9.89180354011602E-7,2.85945224761963,3.03072929382324,49999.6640625,49999.6640625,51.0895849024862,5.79337296298488,2.0020866394043,70,1,0,0,1,0.268173217773438,27.8592376708984,6,1,1,3.03072929382324,0,2.94509077072144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929700.28626,3.13352251052856,49999.6640625,-3.5404966388326E-5,5.66415978832337E-8,1,5,14.0008964538574,3.99870018515661,30.0200004130602,-0.0313427747802966,-0.00571761324017924,1,-1.08399745242529E-6,3.03072929382324,3.23631572723389,49999.6640625,49999.6640625,51.0712166322842,5.79420419719249,2.06619381904602,70,1,0,0,1,0.2655029296875,27.8592376708984,6,1,1,3.23631572723389,0,3.13352251052856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929705.31987,3.336021900177,49999.6640625,-3.45200229384602E-5,6.8502872612745E-8,1,5,14.0008964538574,3.99872027763723,30.0200004130602,-0.0305668642362698,-0.00552669591931782,1,-1.00287584089784E-6,3.23631572723389,3.43572807312012,49999.6640625,49999.6640625,50.9715589960823,5.79392818390963,2.12097954750061,70,1,0,0,1,0.272293090820313,27.8592376708984,6,1,1,3.43572807312012,0,3.336021900177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737929710.28201,3.53713512420654,49999.6640625,-3.35919012469113E-5,5.60519601734511E-8,1,5,14.0008964538574,3.99870899382352,30.0200004130602,-0.0297436753212749,-0.00538615850257143,1,-9.84997222219525E-7,3.43572807312012,3.63854217529297,49999.6640625,49999.6640625,51.0989644447169,5.79392527476667,2.18500566482544,70,1,0,0,1,0.268020629882813,27.8592376708984,6,1,1,3.63854217529297,0,3.53713512420654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
