# brass holder with empty powder container 
#  temperature (K) 	 M/H spline 0.1T (emu) 	 M/H spline 5T (emu)
2.000000000000000000e+00	-1.954564194429525888e-09	-9.018482297717296017e-10
2.034803480348034821e+00	-1.933590253552963466e-09	-8.973129725692145783e-10
2.069606960696069642e+00	-1.912776449000568735e-09	-8.927655976515905584e-10
2.104410441044104463e+00	-1.892122013075329239e-09	-8.882062821109570130e-10
2.139213921392139284e+00	-1.871626178080231279e-09	-8.836352030394139298e-10
2.174017401740174105e+00	-1.851288176318265915e-09	-8.790525375290638816e-10
2.208820882088208926e+00	-1.831107240092419449e-09	-8.744584626720064424e-10
2.243624362436243747e+00	-1.811082601705681079e-09	-8.698531555603416002e-10
2.278427842784278567e+00	-1.791213493461037313e-09	-8.652367932861711003e-10
2.313231323132313388e+00	-1.771499147661477351e-09	-8.606095529415942069e-10
2.348034803480348209e+00	-1.751938796609989768e-09	-8.559716116187132858e-10
2.382838283828382586e+00	-1.732531672609562521e-09	-8.513231464096278079e-10
2.417641764176417851e+00	-1.713277007963182947e-09	-8.466643344064381744e-10
2.452445244524452228e+00	-1.694174034973839831e-09	-8.419953527012454072e-10
2.487248724872487049e+00	-1.675221985944521542e-09	-8.373163783861503213e-10
2.522052205220521870e+00	-1.656420093178215003e-09	-8.326275885532525941e-10
2.556855685568556691e+00	-1.637767588977908585e-09	-8.279291602946538678e-10
2.591659165916591512e+00	-1.619263705646592312e-09	-8.232212707024545439e-10
2.626462646264626333e+00	-1.600907675487253314e-09	-8.185040968687550236e-10
2.661266126612661154e+00	-1.582698730802878101e-09	-8.137778158856557084e-10
2.696069606960695975e+00	-1.564636103896456696e-09	-8.090426048452571030e-10
2.730873087308730796e+00	-1.546719027070976851e-09	-8.042986408396609529e-10
2.765676567656765616e+00	-1.528946732629426522e-09	-7.995461009609667289e-10
2.800480048004800437e+00	-1.511318452874792838e-09	-7.947851623012749359e-10
2.835283528352835258e+00	-1.493833420110065412e-09	-7.900160019526869057e-10
2.870087008700870079e+00	-1.476490866638232405e-09	-7.852387970073030397e-10
2.904890489048904900e+00	-1.459290024762281569e-09	-7.804537245572238427e-10
2.939693969396939721e+00	-1.442230126785199827e-09	-7.756609616945491990e-10
2.974497449744974542e+00	-1.425310405009976582e-09	-7.708606855113807509e-10
3.009300930093009363e+00	-1.408530091739600825e-09	-7.660530730998188996e-10
3.044104410441043740e+00	-1.391888419277059480e-09	-7.612383015519643567e-10
3.078907890789079005e+00	-1.375384619925339882e-09	-7.564165479599171100e-10
3.113711371137113382e+00	-1.359017925987431851e-09	-7.515879894157781813e-10
3.148514851485148647e+00	-1.342787569766322307e-09	-7.467528030116479719e-10
3.183318331833183024e+00	-1.326692783565000244e-09	-7.419111658396271934e-10
3.218121812181218289e+00	-1.310732799686452996e-09	-7.370632549918164539e-10
3.252925292529252665e+00	-1.294906850433669554e-09	-7.322092475603164651e-10
3.287728772877287930e+00	-1.279214168109637049e-09	-7.273493206372276282e-10
3.322532253225322307e+00	-1.263653985017344885e-09	-7.224836513146510685e-10
3.357335733573357128e+00	-1.248225533459779777e-09	-7.176124166846866702e-10
3.392139213921391949e+00	-1.232928045739931130e-09	-7.127357938394353519e-10
3.426942694269426770e+00	-1.217760754160786281e-09	-7.078539598709978249e-10
3.461746174617461591e+00	-1.202722891025333600e-09	-7.029670918714744908e-10
3.496549654965496412e+00	-1.187813688636560837e-09	-6.980753669329654406e-10
3.531353135313531233e+00	-1.173032379297457189e-09	-6.931789621475727301e-10
3.566156615661566054e+00	-1.158378195311010200e-09	-6.882780546073960369e-10
3.600960096009600875e+00	-1.143850368980207206e-09	-6.833728214045355555e-10
3.635763576357635696e+00	-1.129448132608036992e-09	-6.784634396310922044e-10
3.670567056705670517e+00	-1.115170718497488341e-09	-6.735500863791674188e-10
3.705370537053704894e+00	-1.101017358951548796e-09	-6.686329387408608763e-10
3.740174017401740159e+00	-1.086987286273205901e-09	-6.637121738082729784e-10
3.774977497749774535e+00	-1.073079732765448853e-09	-6.587879686735052637e-10
3.809780978097809800e+00	-1.059293930731264989e-09	-6.538605004286575132e-10
3.844584458445844177e+00	-1.045629112473643093e-09	-6.489299461658309555e-10
3.879387938793879442e+00	-1.032084510295570707e-09	-6.439964829771257852e-10
3.914191419141913819e+00	-1.018659356500036203e-09	-6.390602879546426104e-10
3.948994899489949084e+00	-1.005352883390027744e-09	-6.341215381904820393e-10
3.983798379837983461e+00	-9.921643232685337005e-10	-6.291804107767448868e-10
4.018601860186018726e+00	-9.790929084385416155e-10	-6.242370828055315543e-10
4.053405340534053103e+00	-9.661378712030400664e-10	-6.192917313689430635e-10
4.088208820882087480e+00	-9.532984438650174235e-10	-6.143445335590794023e-10
4.123012301230122745e+00	-9.405738587274610234e-10	-6.093956664680413856e-10
4.157815781578158010e+00	-9.279633480933595465e-10	-6.044453071879296216e-10
4.192619261926192387e+00	-9.154661442657011565e-10	-5.994936328108449252e-10
4.227422742274226763e+00	-9.030814795474740171e-10	-5.945408204288879045e-10
4.262226222622262028e+00	-8.908085862416656715e-10	-5.895870471341585474e-10
4.297029702970297294e+00	-8.786466966512648002e-10	-5.846324900187582892e-10
4.331833183318331670e+00	-8.665950430792597737e-10	-5.796773261747872211e-10
4.366636663666366047e+00	-8.546528578286384455e-10	-5.747217326943462614e-10
4.401440144014401312e+00	-8.428193732023885654e-10	-5.697658866695355013e-10
4.436243624362436577e+00	-8.310938215034982973e-10	-5.648099651924558592e-10
4.471047104710470954e+00	-8.194754350349567352e-10	-5.598541453552081500e-10
4.505850585058505331e+00	-8.079634460997510087e-10	-5.548986042498926717e-10
4.540654065406540596e+00	-7.965570870008696952e-10	-5.499435189686100325e-10
4.575457545754575861e+00	-7.852555900413004412e-10	-5.449890666034609438e-10
4.610261026102609350e+00	-7.740581875240325478e-10	-5.400354242465464276e-10
4.645064506450644615e+00	-7.629641117520526275e-10	-5.350827689899660579e-10
4.679867986798679880e+00	-7.519725950283495678e-10	-5.301312779258212701e-10
4.714671467146714257e+00	-7.410828696559118425e-10	-5.251811281462125689e-10
4.749474947494748633e+00	-7.302941679377273051e-10	-5.202324967432402524e-10
4.784278427842783898e+00	-7.196057221767836020e-10	-5.152855608090050321e-10
4.819081908190819163e+00	-7.090167646760691039e-10	-5.103404974356074128e-10
4.853885388538853540e+00	-6.985265277385726979e-10	-5.053974837151485195e-10
4.888688868886887917e+00	-6.881342436672818241e-10	-5.004566967397283402e-10
4.923492349234923182e+00	-6.778391447651842324e-10	-4.955183136014477931e-10
4.958295829582958447e+00	-6.676404633352689137e-10	-4.905825113924071762e-10
4.993099309930992824e+00	-6.575374316805236178e-10	-4.856494672047076147e-10
5.027902790279027201e+00	-6.475292821039366120e-10	-4.807193581304494065e-10
5.062706270627062466e+00	-6.376152469084956461e-10	-4.757923612617328497e-10
