[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738587918.3938,06/19/2018,4:38 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738589593.67228,300.000335693359,9999.681640625,-1.01856114898589E-8,1.12002915661121E-8,1,10,13.2042255401611,3.98159612433184,32.3400013148785,-8.06917846028619E-6,-7.6282825567464E-6,1,-7.12539630318038E-9,300.000335693359,300.000335693359,9999.681640625,9999.681640625,50.4853860571207,5.51061937004822,7.11406087875366,132,1,0,0,1,0.236587524414062,31.2805480957031,1,1,1,300.000335693359,0,300.000335693359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589602.67239,300.036178588867,9999.681640625,-1.3451804945565E-8,1.09346546446285E-8,1,10,13.2042255401611,3.98161546810703,32.3400013148785,-9.63218341582077E-6,-1.69994954551668E-5,1,-1.72467785527151E-8,300.000549316406,300.071807861328,9999.681640625,9999.681640625,50.4377067174476,5.51028919741209,7.11777257919311,132,1,0,0,1,0.24078369140625,30.7917900085449,6,1,1,300.071807861328,0,300.036178588867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589613.6327,300.043914794922,9999.681640625,-1.35707459768972E-8,1.02776030878419E-8,1,10,13.2042255401611,3.98164568812993,32.3400013148785,-1.12158318394599E-5,-7.02298866446824E-6,1,-5.93941293892787E-9,300.016021728516,300.071807861328,9999.681640625,9999.681640625,50.518605269188,5.51083104186616,7.1154956817627,132,1,0,0,1,0.237655639648438,30.3030319213867,2,1,1,300.016021728516,0,300.043914794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589623.65404,299.943237304687,9999.681640625,-7.99246222915767E-9,9.24553936800908E-9,1,10,13.2042255401611,3.9816117384928,32.3400013148785,-5.75135998980013E-6,-9.90868281765661E-6,1,-1.00303969696155E-8,299.870452880859,300.016021728516,9999.681640625,9999.681640625,50.5772274081304,5.51101906386342,7.1148738861084,132,1,0,0,1,0.238571166992187,30.7917900085449,2,1,1,299.870452880859,0,299.943237304687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589633.65882,299.723190307617,9999.681640625,-1.31837487173673E-8,9.81754935317505E-9,1,10,13.2042255401611,3.98168150914026,32.3499999940395,-1.21193731204518E-5,1.44464386701347E-6,1,3.58537867418888E-9,299.575927734375,299.870452880859,9999.681640625,9999.681640625,50.582698807765,5.51127936414826,7.1156153678894,132,1,0,0,1,0.23895263671875,31.2805480957031,2,1,1,299.575927734375,0,299.723190307617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589643.62494,299.368301391602,9999.681640625,-1.75438241797042E-8,9.24611000801358E-9,1,10,13.2042255401611,3.9816316911568,32.3400013148785,-1.49075335921183E-5,-6.32048080392344E-6,1,-4.55664270612798E-9,299.171173095703,299.5654296875,9999.681640625,9999.681640625,50.5350194680919,5.51152992146758,7.11856651306152,132,1,0,0,1,0.238113403320313,30.3030319213867,2,1,1,299.171173095703,0,299.368301391602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589653.62718,298.925552368164,9999.681640625,-1.4317879132318E-8,1.03284775527091E-8,1,10,13.2042255401611,3.98157806914847,32.3400013148785,-1.23904935467423E-5,-3.64145378394943E-6,1,-2.00239609332264E-9,298.679931640625,299.171173095703,9999.681640625,9999.681640625,50.5443990103227,5.51121316275477,7.1149525642395,132,1,0,0,1,0.238876342773438,30.7917900085449,2,1,1,298.679931640625,0,298.925552368164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589663.65706,298.432342529297,9999.681640625,-1.2688208031341E-8,9.14948678667586E-9,1,10,13.2042255401611,3.98158743402974,32.3400013148785,-1.04129313993597E-5,-7.06127790507961E-6,1,-6.11350587950073E-9,298.184753417969,298.679931640625,9999.681640625,9999.681640625,50.6163088340919,5.51171675245272,7.11990118026733,132,1,0,0,1,0.23590087890625,31.2805480957031,2,1,1,298.184753417969,0,298.432342529297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589673.75118,297.881439208984,9999.681640625,-1.48318311495454E-8,9.54435435155712E-9,1,10,13.2042255401611,3.98157692103988,32.3400013148785,-1.24224836348413E-5,-6.56197113484083E-6,1,-5.23133877861632E-9,297.600067138672,298.162811279297,9999.681640625,9999.681640625,50.5940324212938,5.51139916228189,7.12269353866577,132,1,0,0,1,0.240249633789062,30.7917900085449,2,1,1,297.600067138672,0,297.881439208984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738589683.73021,297.324447631836,9999.681640625,-7.19255995927852E-9,8.67294560157062E-9,1,10,13.2042255401611,3.98159773991148,32.3499999940395,-5.733008481511E-6,-5.15040929500953E-6,1,-4.76418826731959E-9,297.048828125,297.600067138672,9999.681640625,9999.681640625,50.5088349126977,5.51186056451267,7.12255573272705,132,1,0,0,1,0.240325927734375,30.7917900085449,2,1,1,297.048828125,0,297.324447631836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
