[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738596285.68454,06/19/2018,6:58 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738596350.70203,2.00036907196045,19999.732421875,4.87369791191617E-7,1.93642038527994E-8,1,10,13.2042255401611,4.01138370826646,32.3400013148785,0.000433237378780197,8.20159033897898E-5,1,1.9604853360427E-8,2.00036907196045,2.00036907196045,19999.732421875,19999.732421875,50.8855798589669,5.5190447051893,2.47670483589172,131,1,68,0,0,0.239028930664062,30.7917900085449,1,1,1,2.00036907196045,0,2.00036907196045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596359.98843,2.24408137798309,19999.732421875,4.63298100728513E-7,2.24721665512902E-8,1,10,13.2042255401611,4.01147039054137,32.3400013148785,0.000413205726725832,6.88285810613127E-5,1,8.41700803532175E-9,2.00679278373718,2.481369972229,19999.732421875,19999.732421875,50.9336500128996,5.51783671155109,2.72069358825684,132,1,0,0,1,0.237274169921875,29.8142719268799,6,1,1,2.481369972229,0,2.24408137798309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596371.24665,2.67890119552612,19999.732421875,4.51682453111296E-7,2.39306123690913E-8,1,10,13.2042255401611,4.01144857117036,32.3400013148785,0.000404008239445611,5.92233416796386E-5,1,-6.04523834598145E-10,2.481369972229,2.87643241882324,19999.732421875,19999.732421875,50.7358979975342,5.51723132997858,2.91845679283142,132,1,0,0,1,0.238571166992187,30.7917900085449,6,1,1,2.87643241882324,0,2.67890119552612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596381.4267,3.08757495880127,19999.732421875,3.97744058994652E-7,2.06898399199171E-8,1,10,13.2042255401611,4.01149730230813,32.3400013148785,0.000354255671074932,6.23858618518396E-5,1,1.09110880154834E-8,2.89260792732239,3.28254199028015,19999.732421875,19999.732421875,50.73003578364,5.51767214124392,3.10006284713745,132,1,0,0,1,0.23773193359375,30.7917900085449,6,1,1,3.28254199028015,0,3.08757495880127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596391.2341,3.48458957672119,19999.732421875,3.87454444301433E-7,2.14160773323673E-8,1,10,13.2042255401611,4.01134592135703,32.3400013148785,0.000343688106149077,7.01104681770822E-5,1,2.10758984288239E-8,3.28254199028015,3.68663716316223,19999.732421875,19999.732421875,50.74019695439,5.51707016952084,3.25564241409302,132,1,0,0,1,0.241012573242187,31.2805480957031,6,1,1,3.68663716316223,0,3.48458957672119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596401.31319,3.91297316551209,19999.732421875,3.59252798920891E-7,1.99348114125438E-8,1,10,13.2042255401611,4.01129995208343,32.3400013148785,0.000322935257057831,3.61531725656289E-5,1,-1.272416374899E-8,3.69964933395386,4.12629699707031,19999.732421875,19999.732421875,50.7366796260534,5.51834816205038,3.41847538948059,132,1,0,0,1,0.238571166992187,29.8142719268799,6,1,1,4.12629699707031,0,3.91297316551209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596411.32108,4.33817553520203,19999.732421875,3.48075366602956E-7,1.83924609134471E-8,1,10,13.2042255401611,4.01134662987607,32.3400013148785,0.000311199251952147,4.64804540981444E-5,1,4.77550741547411E-10,4.12629699707031,4.55005407333374,19999.732421875,19999.732421875,50.7073685565823,5.51958298524562,3.56081795692444,132,1,0,0,1,0.237960815429687,31.2805480957031,6,1,1,4.55005407333374,0,4.33817553520203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596421.22506,4.76198148727417,19999.732421875,3.19380308016462E-7,1.88475126007093E-8,1,10,13.2042255401611,4.01129855152258,32.3400013148785,0.000283611601854205,5.56730795877155E-5,1,1.5004205420489E-8,4.55005407333374,4.9739089012146,19999.732421875,19999.732421875,50.7343347404958,5.51782235460661,3.68959999084473,132,1,0,0,1,0.23468017578125,30.7917900085449,6,1,1,4.98493909835815,0,4.76198148727417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596431.21733,5.20381140708923,19999.732421875,2.93692430950917E-7,1.94131242265479E-8,1,10,13.2042255401611,4.01138038091997,32.3400013148785,0.000262292868884704,4.11685055300581E-5,1,2.58306994529203E-9,4.98493909835815,5.42268371582031,19999.732421875,19999.732421875,50.7820140801688,5.51802163545919,3.80677270889282,132,1,0,0,1,0.238723754882813,30.7917900085449,6,1,1,5.42268371582031,0,5.20381140708923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596441.22689,5.655104637146,19999.732421875,2.66622415267912E-7,1.75159697322658E-8,1,10,13.2042255401611,4.01136019595852,32.3400013148785,0.000240147631178076,2.36362084914199E-5,1,-1.30170983774968E-8,5.43607950210571,5.87412977218628,19999.732421875,19999.732421875,50.6612524739477,5.51918064893993,3.92148661613464,132,1,0,0,1,0.239791870117187,30.7917900085449,6,1,1,5.87412977218628,0,5.655104637146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
