[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738628514.9239,06/20/2018,3:55 am
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738628594.03084,299.999053955078,49999.75,-1.64399225391823E-7,3.60006734564612E-8,1,10,13.2042255401611,4.01151838524634,32.3400013148785,-0.000145942306164969,-2.90514292408682E-5,1,-8.16112624981474E-9,299.999053955078,299.999053955078,49999.75,49999.75,50.315381854188,5.51448449338706,8.08004570007324,132,1,0,0,1,0.2386474609375,31.7693061828613,1,1,1,299.999053955078,0,299.999053955078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628600.94707,300.020721435547,49999.75,-1.39156702349655E-7,3.90875727428042E-8,1,10,13.2042255401611,4.01154364077064,32.3400013148785,-0.000120000970482884,-4.84763587238049E-5,1,-3.36162155442704E-8,299.998901367188,300.042541503906,49999.75,49999.75,50.409958905015,5.51496069523857,8.07259559631348,132,1,0,0,1,0.2398681640625,31.2805480957031,6,1,1,300.042541503906,0,300.020721435547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628609.78952,300.044006347656,49999.75,-1.10015880869659E-7,4.26008008904887E-8,1,10,13.2042255401611,4.01153300102386,32.3400013148785,-9.39213171472232E-5,-4.47444320351404E-5,1,-3.37550370744563E-8,300.042541503906,300.045471191406,49999.75,49999.75,50.3798662070246,5.51540642815396,8.06099987030029,132,1,0,0,1,0.23956298828125,31.2805480957031,2,1,1,300.045471191406,0,300.044006347656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628619.78617,299.971206665039,49999.75,-1.50748197217692E-7,4.4736751568254E-8,1,10,13.2042255401611,4.01149916683613,32.3400013148785,-0.000132051804649977,-3.86088752997938E-5,1,-2.08682925750683E-8,299.896942138672,300.045471191406,49999.75,49999.75,50.4095680907553,5.51536200302087,8.04613876342773,132,1,0,0,1,0.239486694335938,31.2805480957031,2,1,1,299.896942138672,0,299.971206665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628629.77747,299.781692504883,49999.75,-1.33526273494031E-7,3.85213019562064E-8,1,10,13.2042255401611,4.01147434976504,32.3400013148785,-0.000117370338704519,-3.14558696085795E-5,1,-1.54182357691863E-8,299.666442871094,299.896942138672,49999.75,49999.75,50.4638912728419,5.51523415205259,8.03267860412598,132,1,0,0,1,0.234832763671875,30.7917900085449,2,1,1,299.666442871094,0,299.781692504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628639.94193,299.470825195313,49999.75,-1.04943989463482E-7,4.15026674610859E-8,1,10,13.2042255401611,4.01151071478792,32.3400013148785,-8.75757842885352E-5,-5.62989640517611E-5,1,-4.74261424996383E-8,299.275207519531,299.666442871094,49999.75,49999.75,50.4470862596784,5.51554664068376,8.02202606201172,132,1,0,0,1,0.235443115234375,30.7917900085449,2,1,1,299.275207519531,0,299.470825195313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628649.99104,299.04167175293,49999.75,-1.11443605888713E-7,4.24696428364138E-8,1,10,13.2042255401611,4.01147210058745,32.3400013148785,-9.53339371521275E-5,-4.39988675092977E-5,1,-3.27113051376796E-8,298.808135986328,299.275207519531,49999.75,49999.75,50.4001885485246,5.51578720659825,8.01137447357178,130,1,32,0,0,0.234298706054687,30.7917900085449,2,1,1,298.808135986328,0,299.04167175293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628659.80099,298.554748535156,49999.75,-1.3302274955679E-7,4.2135641798118E-8,1,10,13.2042255401611,4.01148196838124,32.3400013148785,-0.000114028642643492,-5.09339343037166E-5,1,-3.7273188585197E-8,298.301361083984,298.808135986328,49999.75,49999.75,50.4228557755823,5.5146249428239,8.0021390914917,132,1,0,0,1,0.23651123046875,31.2805480957031,2,1,1,298.301361083984,0,298.554748535156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628669.83173,298.044067382812,49999.75,-1.07879362434904E-7,4.10272256246457E-8,1,10,13.2042255401611,4.01143829350332,32.3400013148785,-9.00982335177896E-5,-5.73619494281929E-5,1,-4.81823062646841E-8,297.786773681641,298.301361083984,49999.75,49999.75,50.4603739445053,5.515853080219,7.99223184585571,130,1,32,0,0,0.234603881835938,31.7693061828613,2,1,1,297.786773681641,0,298.044067382812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628679.78613,297.520706176758,49999.75,-1.03211232640294E-7,4.26941196577182E-8,1,10,13.2042255401611,4.01147642229772,32.3400013148785,-8.77334487703393E-5,-4.45220769273111E-5,1,-3.45143157854449E-8,297.254638671875,297.786773681641,49999.75,49999.75,50.422074147063,5.51589499956594,7.98118114471436,132,1,0,0,1,0.235824584960938,30.7917900085449,2,1,1,297.254638671875,0,297.520706176758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628689.77977,296.975845336914,49999.75,-1.16928723221328E-7,3.72187453413243E-8,1,10,13.2042255401611,4.01140807849545,32.3400013148785,-0.000101866747770501,-3.3706014151896E-5,1,-2.03910902436856E-8,296.708282470703,297.243408203125,49999.75,49999.75,50.4720983722938,5.51552911272867,7.96485280990601,132,1,0,0,1,0.2386474609375,32.2580642700195,2,1,1,296.708282470703,0,296.975845336914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628699.75318,296.434951782227,49999.75,-1.40148735996915E-7,3.84690747870264E-8,1,10,13.2042255401611,4.0114592490025,32.3400013148785,-0.000122510268056142,-3.76151812109384E-5,1,-2.13260717756345E-8,296.177795410156,296.692108154297,49999.75,49999.75,50.4064415766784,5.51562232696768,7.95772457122803,132,1,0,0,1,0.2362060546875,30.3030319213867,2,1,1,296.177795410156,0,296.434951782227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628709.75701,295.914855957031,49999.75,-1.43625802658202E-7,3.80509105015266E-8,1,10,13.2042255401611,4.01142599012927,32.3400013148785,-0.000125509291047555,-3.88099841679555E-5,1,-2.21482415750831E-8,295.651916503906,296.177795410156,49999.75,49999.75,50.4494311452361,5.51562757213698,7.94166707992554,132,1,0,0,1,0.235595703125,30.3030319213867,2,1,1,295.651916503906,0,295.914855957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738628719.89032,295.368392944336,49999.75,-1.17573983402012E-7,4.02500609877944E-8,1,10,13.2042255401611,4.01141394767664,32.3400013148785,-9.90969673520158E-5,-5.64132662655568E-5,1,-4.56876857552223E-8,295.093078613281,295.643707275391,49999.75,49999.75,50.4599831302457,5.51568865747992,7.93352556228638,132,1,0,0,1,0.239791870117187,31.7693061828613,2,1,1,295.093078613281,0,295.368392944336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
