#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
2.000369071960449663e+00	4.873697911916170495e-07
2.244081377983090153e+00	4.632981007285129367e-07
2.678901195526119938e+00	4.516824531112959832e-07
3.087574958801269975e+00	3.977440589946520129e-07
3.484589576721190074e+00	3.874544443014329986e-07
3.912973165512089846e+00	3.592527989208910201e-07
4.338175535202029920e+00	3.480753666029560121e-07
4.761981487274169922e+00	3.193803080164619769e-07
5.203811407089230734e+00	2.936924309509169905e-07
5.655104637145999646e+00	2.666224152679119817e-07
6.111130237579349256e+00	2.690232416926199663e-07
6.570686340332030362e+00	2.137189032244570094e-07
7.011676073074339932e+00	2.430972038513390160e-07
7.474021673202519089e+00	2.092934929744579945e-07
7.943424224853519178e+00	2.050404201597889835e-07
8.398102283477781427e+00	2.050721766847380214e-07
8.853469848632810724e+00	2.127761536417850038e-07
9.316069602966310370e+00	1.974404985121639836e-07
9.799941539764400744e+00	1.700586684368270018e-07
1.026758575439450105e+01	1.599814591433950074e-07
1.073078680038450017e+01	1.588259780267469928e-07
1.120239448547359906e+01	1.565160212014880088e-07
1.167311191558840022e+01	1.561499711187059825e-07
1.214621067047119851e+01	1.499953320606099991e-07
1.262241697311399946e+01	1.351386530314989999e-07
1.310083293914799896e+01	1.263985902598690075e-07
1.358655166625980115e+01	1.071784113602789961e-07
1.406359243392940073e+01	1.014991789901100056e-07
1.453320693969730115e+01	1.095446570982989998e-07
1.500451946258540126e+01	8.970453833819150953e-08
1.557438898086549983e+01	1.011889325963290076e-07
1.617674684524540041e+01	9.500236146198981377e-08
1.670726299285890093e+01	1.015610885016759957e-07
1.718243980407710225e+01	8.747814324709990581e-08
1.767340087890620026e+01	9.874209768375369440e-08
1.816966056823730113e+01	8.307555959530839780e-08
1.864538383483889916e+01	7.795535542533639298e-08
1.912131690978999998e+01	7.397276190639799579e-08
1.960324287414550071e+01	7.718255222514999957e-08
2.008547210693360086e+01	6.406316315241110332e-08
2.058618354797360084e+01	7.269617683448720589e-08
2.105736732482910156e+01	7.541080649771400261e-08
2.154029464721680043e+01	7.187680812113850366e-08
2.202527046203610084e+01	7.428915466052249992e-08
2.249584865570069780e+01	5.680074866685240240e-08
2.298546981811520240e+01	6.783855123217970022e-08
2.347988605499270065e+01	6.637027806306409837e-08
2.395623397827149859e+01	6.144979720622019229e-08
2.444899272918700106e+01	6.204629671054990667e-08
2.493239402771000002e+01	5.502007596351439667e-08
2.542135524749760123e+01	5.205713080170089796e-08
2.590973949432369849e+01	4.923499766462330309e-08
2.638391399383539593e+01	5.454843633962840163e-08
2.687224578857420099e+01	2.966747441962839962e-08
2.736362552642819779e+01	4.569562706819410435e-08
2.783451843261719816e+01	3.247764692930670105e-08
2.833499336242680045e+01	4.382704816651490637e-08
2.881710052490230112e+01	3.220324122432689679e-08
2.929895305633539593e+01	3.217450761440870256e-08
2.979407501220699928e+01	2.737087943900330162e-08
3.027628231048580076e+01	3.917777338094439811e-08
3.075222301483150034e+01	3.723144414932730311e-08
3.123256969451900034e+01	3.779018427900129927e-08
3.173493194580079901e+01	3.902956751382779850e-08
3.221532058715819602e+01	3.771394343602590067e-08
3.269511795043950286e+01	2.723000624802359998e-08
3.317843627929689632e+01	1.413372387801600171e-08
3.366512680053710227e+01	2.366871673495709844e-08
3.416394424438480115e+01	3.745583023700789864e-08
3.466092491149900212e+01	2.572680819171020212e-08
3.512162208557129617e+01	2.727471453174740138e-08
3.561922645568849788e+01	2.900185361514240490e-08
3.610669898986819959e+01	9.246024621168499932e-09
3.659145736694339490e+01	3.037295053612280116e-08
3.707899284362789416e+01	1.564104158368629856e-08
3.756919860839840197e+01	1.377151713092099970e-08
3.806586265563959870e+01	1.315633568204110153e-08
3.854932975769039416e+01	1.741423264108639950e-08
3.902619552612299714e+01	1.828100008424599955e-08
3.951103210449220171e+01	1.697663488638090284e-08
4.000687408447270599e+01	1.220884649632749944e-08
4.049523735046390271e+01	1.300338560467300090e-08
